sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-OR-A5LB-01	TCGA-OR-A5LB-01	1.435	1	6.135
TCGA-A8-A085-01	TCGA-A8-A085-01	1.434	2	6.28
TCGA-46-6025-01	TCGA-46-6025-01	1.426	2	7.336
TCGA-MV-A51V-01	TCGA-MV-A51V-01	1.423	1	7.587
TCGA-BH-A0C0-01	TCGA-BH-A0C0-01	1.42	2	6.739
TCGA-13-0921-01	TCGA-13-0921-01	1.419	2	
TCGA-BQ-5891-01	TCGA-BQ-5891-01	1.409	1	6.107
TCGA-EO-A1Y7-01	TCGA-EO-A1Y7-01	1.408	1	8.133
TCGA-BH-A0HX-01	TCGA-BH-A0HX-01	1.408	1	6.608
TCGA-EY-A54A-01	TCGA-EY-A54A-01	1.403	2	7.143
TCGA-BH-A0AW-01	TCGA-BH-A0AW-01	1.4	2	5.786
TCGA-EW-A2FS-01	TCGA-EW-A2FS-01	1.391	2	7.627
TCGA-QG-A5YW-01	TCGA-QG-A5YW-01	1.376	1	6.683
TCGA-G7-6790-01	TCGA-G7-6790-01	1.375	1	6.257
TCGA-E2-A1IG-01	TCGA-E2-A1IG-01	1.374	1	6.978
TCGA-C8-A137-01	TCGA-C8-A137-01	1.371	2	6.617
TCGA-D1-A17K-01	TCGA-D1-A17K-01	1.367	2	
TCGA-GL-A59T-01	TCGA-GL-A59T-01	1.365	1	7.005
TCGA-77-7139-01	TCGA-77-7139-01	1.355	2	6.888
TCGA-N9-A4PZ-01	TCGA-N9-A4PZ-01	1.353	2	7.48
TCGA-G7-6789-01	TCGA-G7-6789-01	1.352	1	6.06
TCGA-2L-AAQM-01	TCGA-2L-AAQM-01	1.345	1	6.391
TCGA-29-1693-01	TCGA-29-1693-01	1.341	2	5.86
TCGA-AX-A2H4-01	TCGA-AX-A2H4-01	1.338	2	8.012
TCGA-N6-A4V9-01	TCGA-N6-A4V9-01	1.326	2	6.952
TCGA-ZF-A9R3-01	TCGA-ZF-A9R3-01	1.316	2	6.991
TCGA-EW-A6SA-01	TCGA-EW-A6SA-01	1.315	1	7.624
TCGA-25-1313-01	TCGA-25-1313-01	1.313	2	6.212
TCGA-24-1614-01	TCGA-24-1614-01	1.312	1	
TCGA-XF-A9SH-01	TCGA-XF-A9SH-01	1.311	2	7.15
TCGA-58-A46N-01	TCGA-58-A46N-01	1.298	1	6.759
TCGA-G3-A25W-01	TCGA-G3-A25W-01	1.294	2	
TCGA-AR-A250-01	TCGA-AR-A250-01	1.29	2	5.672
TCGA-C8-A278-01	TCGA-C8-A278-01	1.288	2	6.79
TCGA-A2-A0T0-01	TCGA-A2-A0T0-01	1.287	2	6.729
TCGA-E9-A54Y-01	TCGA-E9-A54Y-01	1.285	1	8.076
TCGA-EW-A1PD-01	TCGA-EW-A1PD-01	1.283	2	6.425
TCGA-D8-A1X9-01	TCGA-D8-A1X9-01	1.278	2	6.371
TCGA-EE-A20F-06	TCGA-EE-A20F-06	1.277	2	7.594
TCGA-AR-A2LL-01	TCGA-AR-A2LL-01	1.273	1	6.447
TCGA-E2-A105-01	TCGA-E2-A105-01	1.272	2	6.931
TCGA-DD-A3A7-01	TCGA-DD-A3A7-01	1.271	1	7.765
TCGA-FR-A3YN-06	TCGA-FR-A3YN-06	1.27	2	5.725
TCGA-B5-A1MY-01	TCGA-B5-A1MY-01	1.265	2	
TCGA-CN-6988-01	TCGA-CN-6988-01	1.26	1	6.922
TCGA-G7-6795-01	TCGA-G7-6795-01	1.257	1	7.836
TCGA-XF-AAMF-01	TCGA-XF-AAMF-01	1.256	1	
TCGA-49-AAR9-01	TCGA-49-AAR9-01	1.254	2	7.33
TCGA-D5-6537-01	TCGA-D5-6537-01	1.246	1	6.632
TCGA-JV-A75J-01	TCGA-JV-A75J-01	1.231	1	6.742
TCGA-DX-A6YV-01	TCGA-DX-A6YV-01	1.23	1	6.456
TCGA-AH-6897-01	TCGA-AH-6897-01	1.218	1	6.394
TCGA-EW-A1OY-01	TCGA-EW-A1OY-01	1.199	1	6.455
TCGA-B9-4117-01	TCGA-B9-4117-01	1.199	1	6.188
TCGA-86-8358-01	TCGA-86-8358-01	1.192	1	6.571
TCGA-36-1568-01	TCGA-36-1568-01	1.191	2	6.635
TCGA-91-6847-01	TCGA-91-6847-01	1.189	2	7.002
TCGA-A2-A04P-01	TCGA-A2-A04P-01	1.188	2	7.287
TCGA-DA-A95V-06	TCGA-DA-A95V-06	1.187	1	7.155
TCGA-X6-A8C2-01	TCGA-X6-A8C2-01	1.185	1	6.959
TCGA-B4-5835-01	TCGA-B4-5835-01	1.181	2	6.339
TCGA-AR-A256-01	TCGA-AR-A256-01	1.181	1	6.406
TCGA-29-1705-01	TCGA-29-1705-01	1.178	2	6.912
TCGA-LL-A5YP-01	TCGA-LL-A5YP-01	1.171	2	6.901
TCGA-G3-AAV1-01	TCGA-G3-AAV1-01	1.169	2	5.765
TCGA-78-8662-01	TCGA-78-8662-01	1.161	1	6.996
TCGA-SI-A71Q-01	TCGA-SI-A71Q-01	1.16	1	5.997
TCGA-55-A494-01	TCGA-55-A494-01	1.159	1	6.892
TCGA-AX-A3G4-01	TCGA-AX-A3G4-01	1.155	2	8.726
TCGA-AA-A00L-01	TCGA-AA-A00L-01	1.151	1	
TCGA-66-2757-01	TCGA-66-2757-01	1.149	2	6.473
