sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-EX-A69L-01	TCGA-EX-A69L-01	0.06	0	6.338
TCGA-UY-A8OD-01	TCGA-UY-A8OD-01	0.06	0	6.29
TCGA-EE-A3AB-06	TCGA-EE-A3AB-06	0.06	0	5.914
TCGA-HZ-A77O-01	TCGA-HZ-A77O-01	0.06	0	5.866
TCGA-YU-A90S-01	TCGA-YU-A90S-01	0.06	0	5.836
TCGA-27-2519-01	TCGA-27-2519-01	0.06	0	5.81
TCGA-AR-A0TP-01	TCGA-AR-A0TP-01	0.06	0	5.728
TCGA-06-0649-01	TCGA-06-0649-01	0.06	0	5.521
TCGA-D8-A1Y0-01	TCGA-D8-A1Y0-01	0.06	0	5.39
TCGA-CN-4730-01	TCGA-CN-4730-01	0.06	0	5.199
TCGA-02-0084-01	TCGA-02-0084-01	0.06	0	
TCGA-AG-A00C-01	TCGA-AG-A00C-01	0.06	0	
TCGA-4V-A9QN-01	TCGA-4V-A9QN-01	0.059	0	9.066
TCGA-DB-5274-01	TCGA-DB-5274-01	0.059	0	7.152
TCGA-EL-A3ZO-01	TCGA-EL-A3ZO-01	0.059	0	7.058
TCGA-24-1846-01	TCGA-24-1846-01	0.059	0	6.484
TCGA-DK-A2I6-01	TCGA-DK-A2I6-01	0.059	0	6.445
TCGA-D3-A8GS-06	TCGA-D3-A8GS-06	0.059	0	6.375
TCGA-CQ-6223-01	TCGA-CQ-6223-01	0.059	0	6.282
TCGA-WC-AA9A-01	TCGA-WC-AA9A-01	0.059	0	6.281
TCGA-5P-A9KA-01	TCGA-5P-A9KA-01	0.059	0	6.278
TCGA-P5-A5EX-01	TCGA-P5-A5EX-01	0.059	0	6.049
TCGA-24-1930-01	TCGA-24-1930-01	0.059	0	5.882
TCGA-HW-8320-01	TCGA-HW-8320-01	0.059	0	5.865
TCGA-S9-A6TY-01	TCGA-S9-A6TY-01	0.059	0	5.822
TCGA-DB-A4XD-01	TCGA-DB-A4XD-01	0.059	0	5.812
TCGA-55-8203-01	TCGA-55-8203-01	0.059	0	5.676
TCGA-B0-4690-01	TCGA-B0-4690-01	0.059	0	5.481
TCGA-HT-7695-01	TCGA-HT-7695-01	0.059	0	5.475
TCGA-69-7765-01	TCGA-69-7765-01	0.059	0	5.39
TCGA-99-7458-01	TCGA-99-7458-01	0.059	0	5.268
TCGA-A8-A06P-01	TCGA-A8-A06P-01	0.059	0	5.207
TCGA-CD-8529-01	TCGA-CD-8529-01	0.059	0	5.041
TCGA-08-0520-01	TCGA-08-0520-01	0.059	0	
TCGA-31-1955-01	TCGA-31-1955-01	0.059	0	
TCGA-74-6581-01	TCGA-74-6581-01	0.059	0	
TCGA-AP-A05H-01	TCGA-AP-A05H-01	0.059	0	
TCGA-IB-AAUO-01	TCGA-IB-AAUO-01	0.058	0	6.806
TCGA-CU-A3QU-01	TCGA-CU-A3QU-01	0.058	0	6.795
TCGA-S9-A6WH-01	TCGA-S9-A6WH-01	0.058	0	6.464
TCGA-N6-A4VD-01	TCGA-N6-A4VD-01	0.058	0	6.393
TCGA-24-1427-01	TCGA-24-1427-01	0.058	0	6.123
TCGA-CS-5390-01	TCGA-CS-5390-01	0.058	0	5.788
TCGA-5P-A9JU-01	TCGA-5P-A9JU-01	0.058	0	5.685
TCGA-RD-A7BS-01	TCGA-RD-A7BS-01	0.058	0	5.619
TCGA-AN-A0AK-01	TCGA-AN-A0AK-01	0.058	0	5.57
TCGA-CJ-4872-01	TCGA-CJ-4872-01	0.058	0	5.567
TCGA-38-7271-01	TCGA-38-7271-01	0.058	0	5.473
TCGA-BC-A8YO-01	TCGA-BC-A8YO-01	0.058	0	5.457
TCGA-BC-A10S-01	TCGA-BC-A10S-01	0.058	0	5.306
TCGA-39-5028-01	TCGA-39-5028-01	0.058	0	5.136
TCGA-KL-8343-01	TCGA-KL-8343-01	0.058	0	4.927
TCGA-02-0024-01	TCGA-02-0024-01	0.058	0	
TCGA-09-1664-01	TCGA-09-1664-01	0.058	0	
TCGA-AA-3855-01	TCGA-AA-3855-01	0.058	0	
TCGA-PE-A5DC-01	TCGA-PE-A5DC-01	0.057	0	6.551
TCGA-QH-A65R-01	TCGA-QH-A65R-01	0.057	0	6.39
TCGA-55-A48X-01	TCGA-55-A48X-01	0.057	0	6.375
TCGA-S9-A6WD-01	TCGA-S9-A6WD-01	0.057	0	6.209
TCGA-CS-6666-01	TCGA-CS-6666-01	0.057	0	5.967
TCGA-CN-A499-01	TCGA-CN-A499-01	0.057	0	5.921
TCGA-WB-A81S-01	TCGA-WB-A81S-01	0.057	0	5.661
TCGA-DD-AAVW-01	TCGA-DD-AAVW-01	0.057	0	5.535
TCGA-CR-7397-01	TCGA-CR-7397-01	0.057	0	5.499
TCGA-BR-8365-01	TCGA-BR-8365-01	0.057	0	4.74
TCGA-06-A6S1-01	TCGA-06-A6S1-01	0.057	0	
TCGA-VF-A8AA-01	TCGA-VF-A8AA-01	0.057	0	
TCGA-EA-A43B-01	TCGA-EA-A43B-01	0.056	0	7.29
TCGA-DU-A5TP-01	TCGA-DU-A5TP-01	0.056	0	6.759
TCGA-EE-A29S-06	TCGA-EE-A29S-06	0.056	0	6.718
TCGA-N8-A56S-01	TCGA-N8-A56S-01	0.056	0	6.701
TCGA-VS-A9UV-01	TCGA-VS-A9UV-01	0.056	0	6.429
TCGA-DJ-A3V3-01	TCGA-DJ-A3V3-01	0.056	0	6.371
TCGA-O2-A5IB-01	TCGA-O2-A5IB-01	0.056	0	6.349
TCGA-E1-5311-01	TCGA-E1-5311-01	0.056	0	6.056
TCGA-EJ-A7NF-01	TCGA-EJ-A7NF-01	0.056	0	5.838
TCGA-44-7672-01	TCGA-44-7672-01	0.056	0	5.729
TCGA-73-4670-01	TCGA-73-4670-01	0.056	0	5.637
TCGA-BP-4986-01	TCGA-BP-4986-01	0.056	0	5.26
TCGA-FZ-5924-01	TCGA-FZ-5924-01	0.056	0	
TCGA-DK-A3WY-01	TCGA-DK-A3WY-01	0.055	0	6.243
TCGA-E1-A7YH-01	TCGA-E1-A7YH-01	0.055	0	6.158
TCGA-S9-A6U5-01	TCGA-S9-A6U5-01	0.055	0	5.978
TCGA-DB-A64U-01	TCGA-DB-A64U-01	0.055	0	5.937
TCGA-WB-A818-01	TCGA-WB-A818-01	0.055	0	5.781
TCGA-DB-5278-01	TCGA-DB-5278-01	0.055	0	5.751
TCGA-HT-7620-01	TCGA-HT-7620-01	0.055	0	5.734
TCGA-56-A62T-01	TCGA-56-A62T-01	0.055	0	5.719
TCGA-CG-5726-01	TCGA-CG-5726-01	0.055	0	5.647
TCGA-S3-A6ZF-01	TCGA-S3-A6ZF-01	0.055	0	5.628
TCGA-EL-A3T0-01	TCGA-EL-A3T0-01	0.055	0	5.623
TCGA-DD-AADA-01	TCGA-DD-AADA-01	0.055	0	5.528
TCGA-AC-A6IX-01	TCGA-AC-A6IX-01	0.055	0	5.511
TCGA-B0-5701-01	TCGA-B0-5701-01	0.055	0	5.431
TCGA-BP-5177-01	TCGA-BP-5177-01	0.055	0	5.307
TCGA-BK-A0C9-01	TCGA-BK-A0C9-01	0.055	0	
TCGA-CV-6433-01	TCGA-CV-6433-01	0.055	0	
TCGA-OR-A5LD-01	TCGA-OR-A5LD-01	0.054	0	7.112
TCGA-DY-A1DD-01	TCGA-DY-A1DD-01	0.054	0	6.656
TCGA-BA-5153-01	TCGA-BA-5153-01	0.054	0	5.988
TCGA-22-5480-01	TCGA-22-5480-01	0.054	0	5.901
TCGA-VR-A8EW-01	TCGA-VR-A8EW-01	0.054	0	5.808
TCGA-TM-A84O-01	TCGA-TM-A84O-01	0.054	0	5.79
TCGA-23-1123-01	TCGA-23-1123-01	0.054	0	5.767
TCGA-60-2698-01	TCGA-60-2698-01	0.054	0	5.705
TCGA-DU-5870-01	TCGA-DU-5870-01	0.054	0	5.608
TCGA-ER-A42K-06	TCGA-ER-A42K-06	0.054	0	5.574
TCGA-HC-A4ZV-01	TCGA-HC-A4ZV-01	0.054	0	5.515
TCGA-EL-A3GP-01	TCGA-EL-A3GP-01	0.054	0	5.356
TCGA-B8-5549-01	TCGA-B8-5549-01	0.054	0	4.692
TCGA-87-5896-01	TCGA-87-5896-01	0.054	0	
TCGA-AA-A00W-01	TCGA-AA-A00W-01	0.054	0	
TCGA-DD-AAE8-01	TCGA-DD-AAE8-01	0.054	0	
TCGA-VQ-A8PS-01	TCGA-VQ-A8PS-01	0.054	0	
TCGA-C5-A3HE-01	TCGA-C5-A3HE-01	0.053	0	6.955
TCGA-CQ-A4C7-01	TCGA-CQ-A4C7-01	0.053	0	6.822
TCGA-FE-A235-01	TCGA-FE-A235-01	0.053	0	6.681
TCGA-DB-A75K-01	TCGA-DB-A75K-01	0.053	0	6.655
TCGA-85-A513-01	TCGA-85-A513-01	0.053	0	6.55
TCGA-R8-A6MO-01	TCGA-R8-A6MO-01	0.053	0	6.44
TCGA-61-1736-01	TCGA-61-1736-01	0.053	0	6.34
TCGA-51-4081-01	TCGA-51-4081-01	0.053	0	6.293
TCGA-FG-8187-01	TCGA-FG-8187-01	0.053	0	6.148
TCGA-KK-A8IK-01	TCGA-KK-A8IK-01	0.053	0	6.105
TCGA-19-2624-01	TCGA-19-2624-01	0.053	0	6.065
TCGA-EL-A3ZS-01	TCGA-EL-A3ZS-01	0.053	0	6.046
TCGA-C8-A134-01	TCGA-C8-A134-01	0.053	0	5.964
TCGA-HR-A2OH-06	TCGA-HR-A2OH-06	0.053	0	5.961
TCGA-VQ-A94O-01	TCGA-VQ-A94O-01	0.053	0	5.905
TCGA-VM-A8CE-01	TCGA-VM-A8CE-01	0.053	0	5.885
TCGA-AN-A0XS-01	TCGA-AN-A0XS-01	0.053	0	5.805
TCGA-BQ-7044-01	TCGA-BQ-7044-01	0.053	0	5.799
TCGA-IA-A83S-01	TCGA-IA-A83S-01	0.053	0	5.797
TCGA-13-0900-01	TCGA-13-0900-01	0.053	0	5.656
TCGA-DD-AADJ-01	TCGA-DD-AADJ-01	0.053	0	5.618
TCGA-X6-A7WB-01	TCGA-X6-A7WB-01	0.053	0	5.617
TCGA-85-7698-01	TCGA-85-7698-01	0.053	0	5.54
TCGA-VQ-A91W-01	TCGA-VQ-A91W-01	0.053	0	5.4
TCGA-RT-A6YC-01	TCGA-RT-A6YC-01	0.053	0	5.174
TCGA-02-0271-01	TCGA-02-0271-01	0.053	0	
TCGA-12-3651-01	TCGA-12-3651-01	0.053	0	
TCGA-BR-4183-01	TCGA-BR-4183-01	0.053	0	
TCGA-B9-A5W8-01	TCGA-B9-A5W8-01	0.052	0	6.641
TCGA-E2-A1B6-01	TCGA-E2-A1B6-01	0.052	0	6.554
TCGA-DH-A7US-01	TCGA-DH-A7US-01	0.052	0	6.149
TCGA-A6-A567-01	TCGA-A6-A567-01	0.052	0	6.136
TCGA-66-2753-01	TCGA-66-2753-01	0.052	0	6.124
TCGA-N5-A4RN-01	TCGA-N5-A4RN-01	0.052	0	5.986
TCGA-CX-7219-01	TCGA-CX-7219-01	0.052	0	5.942
TCGA-3A-A9IZ-01	TCGA-3A-A9IZ-01	0.052	0	5.84
TCGA-CR-5243-01	TCGA-CR-5243-01	0.052	0	5.831
TCGA-AN-A0AL-01	TCGA-AN-A0AL-01	0.052	0	5.826
TCGA-A8-A06X-01	TCGA-A8-A06X-01	0.052	0	5.663
TCGA-A6-6651-01	TCGA-A6-6651-01	0.052	0	5.604
TCGA-D8-A1JP-01	TCGA-D8-A1JP-01	0.052	0	5.463
TCGA-YD-A9TB-06	TCGA-YD-A9TB-06	0.052	0	5.396
TCGA-BR-8284-01	TCGA-BR-8284-01	0.052	0	5.272
TCGA-B8-4619-01	TCGA-B8-4619-01	0.052	0	4.93
TCGA-12-1097-01	TCGA-12-1097-01	0.052	0	
TCGA-XU-A930-01	TCGA-XU-A930-01	0.051	0	7.206
TCGA-EB-A5KH-06	TCGA-EB-A5KH-06	0.051	0	6.761
TCGA-44-5643-01	TCGA-44-5643-01	0.051	0	6.478
TCGA-58-8388-01	TCGA-58-8388-01	0.051	0	6.327
TCGA-Y8-A8RZ-01	TCGA-Y8-A8RZ-01	0.051	0	6.249
TCGA-C5-A1ML-01	TCGA-C5-A1ML-01	0.051	0	6.239
TCGA-DU-A6S3-01	TCGA-DU-A6S3-01	0.051	0	6.157
TCGA-RP-A690-06	TCGA-RP-A690-06	0.051	0	6.133
TCGA-23-1114-01	TCGA-23-1114-01	0.051	0	6.098
TCGA-HZ-8005-01	TCGA-HZ-8005-01	0.051	0	6.074
TCGA-G3-A25Y-01	TCGA-G3-A25Y-01	0.051	0	6.057
TCGA-XE-A8H1-01	TCGA-XE-A8H1-01	0.051	0	6.043
TCGA-HT-7677-01	TCGA-HT-7677-01	0.051	0	5.905
TCGA-HT-7605-01	TCGA-HT-7605-01	0.051	0	5.798
TCGA-WB-A81T-01	TCGA-WB-A81T-01	0.051	0	5.691
TCGA-F4-6807-01	TCGA-F4-6807-01	0.051	0	5.674
TCGA-DJ-A2PV-01	TCGA-DJ-A2PV-01	0.051	0	5.623
TCGA-CG-5717-01	TCGA-CG-5717-01	0.051	0	5.541
TCGA-E2-A15L-01	TCGA-E2-A15L-01	0.051	0	5.245
TCGA-OR-A5LO-01	TCGA-OR-A5LO-01	0.051	0	4.929
TCGA-PR-A5PG-01	TCGA-PR-A5PG-01	0.051	0	4.924
TCGA-02-0028-01	TCGA-02-0028-01	0.051	0	
TCGA-61-1903-01	TCGA-61-1903-01	0.051	0	
TCGA-A6-3807-01	TCGA-A6-3807-01	0.051	0	
TCGA-AA-3561-01	TCGA-AA-3561-01	0.051	0	
TCGA-HT-A74K-01	TCGA-HT-A74K-01	0.05	0	7.315
TCGA-33-AASB-01	TCGA-33-AASB-01	0.05	0	6.787
TCGA-DM-A1D4-01	TCGA-DM-A1D4-01	0.05	0	6.672
TCGA-W5-AA2T-01	TCGA-W5-AA2T-01	0.05	0	6.665
TCGA-ZJ-A8QR-01	TCGA-ZJ-A8QR-01	0.05	0	6.547
TCGA-33-6737-01	TCGA-33-6737-01	0.05	0	6.534
TCGA-MB-A5Y9-01	TCGA-MB-A5Y9-01	0.05	0	6.529
TCGA-AZ-6608-01	TCGA-AZ-6608-01	0.05	0	6.512
TCGA-HT-8105-01	TCGA-HT-8105-01	0.05	0	6.451
TCGA-C8-A1HJ-01	TCGA-C8-A1HJ-01	0.05	0	6.367
TCGA-QH-A6X8-01	TCGA-QH-A6X8-01	0.05	0	6.336
TCGA-FS-A4F5-06	TCGA-FS-A4F5-06	0.05	0	6.274
TCGA-QH-A6X5-01	TCGA-QH-A6X5-01	0.05	0	6.221
TCGA-DU-5855-01	TCGA-DU-5855-01	0.05	0	6.157
TCGA-06-0745-01	TCGA-06-0745-01	0.05	0	5.852
TCGA-GM-A2DL-01	TCGA-GM-A2DL-01	0.05	0	5.661
TCGA-G3-A7M7-01	TCGA-G3-A7M7-01	0.05	0	5.39
TCGA-B0-5080-01	TCGA-B0-5080-01	0.05	0	5.339
TCGA-A7-A26I-01	TCGA-A7-A26I-01	0.05	0	5.316
TCGA-29-1690-01	TCGA-29-1690-01	0.05	0	5.311
TCGA-HU-A4G9-01	TCGA-HU-A4G9-01	0.05	0	5.121
TCGA-04-1335-01	TCGA-04-1335-01	0.05	0	
TCGA-06-0171-01	TCGA-06-0171-01	0.05	0	
TCGA-14-0736-01	TCGA-14-0736-01	0.05	0	
TCGA-D1-A17R-01	TCGA-D1-A17R-01	0.05	0	
TCGA-CQ-A4CI-01	TCGA-CQ-A4CI-01	0.049	0	6.706
TCGA-BT-A3PH-01	TCGA-BT-A3PH-01	0.049	0	6.557
TCGA-ER-A19H-06	TCGA-ER-A19H-06	0.049	0	6.31
TCGA-QH-A65V-01	TCGA-QH-A65V-01	0.049	0	6.257
TCGA-55-7570-01	TCGA-55-7570-01	0.049	0	6.252
TCGA-DD-A3A5-01	TCGA-DD-A3A5-01	0.049	0	6.065
TCGA-QS-A744-01	TCGA-QS-A744-01	0.049	0	6.06
TCGA-G4-6322-01	TCGA-G4-6322-01	0.049	0	5.934
TCGA-G7-6797-01	TCGA-G7-6797-01	0.049	0	5.898
TCGA-S9-A7J1-01	TCGA-S9-A7J1-01	0.049	0	5.767
TCGA-RW-A68F-01	TCGA-RW-A68F-01	0.049	0	5.715
TCGA-DU-6407-01	TCGA-DU-6407-01	0.049	0	5.688
TCGA-RX-A8JQ-01	TCGA-RX-A8JQ-01	0.049	0	5.54
TCGA-KH-A6WC-01	TCGA-KH-A6WC-01	0.049	0	5.443
TCGA-73-4677-01	TCGA-73-4677-01	0.049	0	5.386
TCGA-AG-3727-01	TCGA-AG-3727-01	0.049	0	
TCGA-CV-7238-01	TCGA-CV-7238-01	0.048	0	7.289
TCGA-ZB-A969-01	TCGA-ZB-A969-01	0.048	0	6.905
TCGA-HE-A5NK-01	TCGA-HE-A5NK-01	0.048	0	6.724
TCGA-FD-A62P-01	TCGA-FD-A62P-01	0.048	0	6.675
TCGA-BB-8596-01	TCGA-BB-8596-01	0.048	0	6.586
TCGA-BA-A6DG-01	TCGA-BA-A6DG-01	0.048	0	6.544
TCGA-OR-A5L3-01	TCGA-OR-A5L3-01	0.048	0	6.29
TCGA-DX-A48O-01	TCGA-DX-A48O-01	0.048	0	6.225
TCGA-K4-A5RJ-01	TCGA-K4-A5RJ-01	0.048	0	6.222
TCGA-DD-AAE1-01	TCGA-DD-AAE1-01	0.048	0	5.967
TCGA-ET-A25O-01	TCGA-ET-A25O-01	0.048	0	5.908
TCGA-FD-A3B8-01	TCGA-FD-A3B8-01	0.048	0	5.874
TCGA-ER-A197-06	TCGA-ER-A197-06	0.048	0	5.777
TCGA-IG-A3I8-01	TCGA-IG-A3I8-01	0.048	0	5.765
TCGA-P5-A77X-01	TCGA-P5-A77X-01	0.048	0	5.756
TCGA-25-2391-01	TCGA-25-2391-01	0.048	0	5.731
TCGA-BD-A2L6-01	TCGA-BD-A2L6-01	0.048	0	5.62
TCGA-61-2002-01	TCGA-61-2002-01	0.048	0	5.491
TCGA-67-3773-01	TCGA-67-3773-01	0.048	0	5.359
TCGA-E2-A14S-01	TCGA-E2-A14S-01	0.048	0	5.354
TCGA-RD-A7BW-01	TCGA-RD-A7BW-01	0.048	0	5.304
TCGA-2Y-A9GW-01	TCGA-2Y-A9GW-01	0.048	0	5.107
TCGA-A8-A0A6-01	TCGA-A8-A0A6-01	0.048	0	5.107
TCGA-02-2486-01	TCGA-02-2486-01	0.048	0	
TCGA-19-0963-01	TCGA-19-0963-01	0.048	0	
TCGA-AA-3930-01	TCGA-AA-3930-01	0.048	0	
TCGA-AX-A1C8-01	TCGA-AX-A1C8-01	0.048	0	
TCGA-DD-A1E9-01	TCGA-DD-A1E9-01	0.048	0	
TCGA-HV-A5A6-01	TCGA-HV-A5A6-01	0.047	0	7.116
TCGA-CV-A6JN-01	TCGA-CV-A6JN-01	0.047	0	7.064
TCGA-P3-A6SW-01	TCGA-P3-A6SW-01	0.047	0	6.887
TCGA-C8-A8HQ-01	TCGA-C8-A8HQ-01	0.047	0	6.082
TCGA-HT-7469-01	TCGA-HT-7469-01	0.047	0	6.078
TCGA-CJ-4637-01	TCGA-CJ-4637-01	0.047	0	6.035
TCGA-12-0618-01	TCGA-12-0618-01	0.047	0	5.935
TCGA-CS-6670-01	TCGA-CS-6670-01	0.047	0	5.832
TCGA-S9-A7IY-01	TCGA-S9-A7IY-01	0.047	0	5.792
TCGA-BQ-7055-01	TCGA-BQ-7055-01	0.047	0	5.254
TCGA-06-2558-01	TCGA-06-2558-01	0.047	0	5.061
TCGA-AA-3519-01	TCGA-AA-3519-01	0.047	0	
TCGA-AA-3688-01	TCGA-AA-3688-01	0.047	0	
TCGA-D1-A168-01	TCGA-D1-A168-01	0.047	0	
TCGA-F7-A61W-01	TCGA-F7-A61W-01	0.046	0	6.497
TCGA-DD-AAVU-01	TCGA-DD-AAVU-01	0.046	0	6.145
TCGA-DU-7018-01	TCGA-DU-7018-01	0.046	0	6.079
TCGA-NC-A5HJ-01	TCGA-NC-A5HJ-01	0.046	0	5.99
TCGA-DC-6156-01	TCGA-DC-6156-01	0.046	0	5.943
TCGA-G9-7510-01	TCGA-G9-7510-01	0.046	0	5.871
TCGA-43-7658-01	TCGA-43-7658-01	0.046	0	5.823
TCGA-P5-A731-01	TCGA-P5-A731-01	0.046	0	5.763
TCGA-BH-A0W7-01	TCGA-BH-A0W7-01	0.046	0	5.722
TCGA-2Y-A9H4-01	TCGA-2Y-A9H4-01	0.046	0	5.592
TCGA-B0-5081-01	TCGA-B0-5081-01	0.046	0	5.592
TCGA-XR-A8TF-01	TCGA-XR-A8TF-01	0.046	0	5.581
TCGA-A8-A08T-01	TCGA-A8-A08T-01	0.046	0	5.136
TCGA-53-7626-01	TCGA-53-7626-01	0.046	0	5.017
TCGA-06-6693-01	TCGA-06-6693-01	0.046	0	
TCGA-28-5219-01	TCGA-28-5219-01	0.046	0	
TCGA-61-2613-01	TCGA-61-2613-01	0.046	0	
TCGA-QH-A65X-01	TCGA-QH-A65X-01	0.045	0	7.261
TCGA-GV-A6ZA-01	TCGA-GV-A6ZA-01	0.045	0	7.122
TCGA-V7-A7HQ-01	TCGA-V7-A7HQ-01	0.045	0	6.814
TCGA-62-A472-01	TCGA-62-A472-01	0.045	0	6.785
TCGA-98-A53A-01	TCGA-98-A53A-01	0.045	0	6.593
TCGA-LK-A4O5-01	TCGA-LK-A4O5-01	0.045	0	6.364
TCGA-CV-7438-01	TCGA-CV-7438-01	0.045	0	6.195
TCGA-2Z-A9JG-01	TCGA-2Z-A9JG-01	0.045	0	6.169
TCGA-A2-A0CW-01	TCGA-A2-A0CW-01	0.045	0	6.123
TCGA-4C-A93U-01	TCGA-4C-A93U-01	0.045	0	6.073
TCGA-P5-A781-01	TCGA-P5-A781-01	0.045	0	5.752
TCGA-BA-5557-01	TCGA-BA-5557-01	0.045	0	5.725
TCGA-HW-7486-01	TCGA-HW-7486-01	0.045	0	5.684
TCGA-78-7153-01	TCGA-78-7153-01	0.045	0	5.589
TCGA-BP-4989-01	TCGA-BP-4989-01	0.045	0	5.555
TCGA-A2-A0YF-01	TCGA-A2-A0YF-01	0.045	0	5.515
TCGA-A8-A0A2-01	TCGA-A8-A0A2-01	0.045	0	5.345
TCGA-29-1696-01	TCGA-29-1696-01	0.045	0	5.149
TCGA-B8-5550-01	TCGA-B8-5550-01	0.045	0	4.988
TCGA-DD-AAEI-01	TCGA-DD-AAEI-01	0.045	0	4.588
TCGA-02-0446-01	TCGA-02-0446-01	0.045	0	
TCGA-06-6389-01	TCGA-06-6389-01	0.045	0	
TCGA-61-2096-01	TCGA-61-2096-01	0.045	0	
TCGA-BG-A0YV-01	TCGA-BG-A0YV-01	0.045	0	
TCGA-CG-5733-01	TCGA-CG-5733-01	0.045	0	
TCGA-D1-A1NX-01	TCGA-D1-A1NX-01	0.045	0	
TCGA-HT-8013-01	TCGA-HT-8013-01	0.045	0	
TCGA-E5-A4U1-01	TCGA-E5-A4U1-01	0.044	0	7.897
TCGA-KQ-A41R-01	TCGA-KQ-A41R-01	0.044	0	7.505
TCGA-FG-A6J1-01	TCGA-FG-A6J1-01	0.044	0	7.036
TCGA-DJ-A4UR-01	TCGA-DJ-A4UR-01	0.044	0	6.56
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	0.044	0	6.489
TCGA-EA-A50E-01	TCGA-EA-A50E-01	0.044	0	6.476
TCGA-2G-AALS-01	TCGA-2G-AALS-01	0.044	0	6.172
TCGA-2J-AABH-01	TCGA-2J-AABH-01	0.044	0	6.111
TCGA-IG-A3Y9-01	TCGA-IG-A3Y9-01	0.044	0	5.869
TCGA-ZG-A9N3-01	TCGA-ZG-A9N3-01	0.044	0	5.824
TCGA-DD-AACH-01	TCGA-DD-AACH-01	0.044	0	5.816
TCGA-A8-A09I-01	TCGA-A8-A09I-01	0.044	0	5.727
TCGA-49-4510-01	TCGA-49-4510-01	0.044	0	5.718
TCGA-A2-A0YG-01	TCGA-A2-A0YG-01	0.044	0	5.681
TCGA-CQ-5325-01	TCGA-CQ-5325-01	0.044	0	5.499
TCGA-A8-A07E-01	TCGA-A8-A07E-01	0.044	0	5.352
TCGA-4K-AA1I-01	TCGA-4K-AA1I-01	0.044	0	5.183
TCGA-EW-A1P6-01	TCGA-EW-A1P6-01	0.044	0	5.135
TCGA-BP-4775-01	TCGA-BP-4775-01	0.044	0	5.111
TCGA-97-7938-01	TCGA-97-7938-01	0.044	0	5.05
TCGA-06-6391-01	TCGA-06-6391-01	0.044	0	
TCGA-AA-3544-01	TCGA-AA-3544-01	0.044	0	
TCGA-AG-3885-01	TCGA-AG-3885-01	0.044	0	
TCGA-DX-A48V-01	TCGA-DX-A48V-01	0.044	0	
TCGA-XF-A9SX-01	TCGA-XF-A9SX-01	0.043	0	7.305
TCGA-SR-A6MV-01	TCGA-SR-A6MV-01	0.043	0	7.173
TCGA-L5-A4OI-01	TCGA-L5-A4OI-01	0.043	0	6.431
TCGA-IR-A3LF-01	TCGA-IR-A3LF-01	0.043	0	6.42
TCGA-DH-A7UR-01	TCGA-DH-A7UR-01	0.043	0	6.39
TCGA-WB-A815-01	TCGA-WB-A815-01	0.043	0	6.363
TCGA-UC-A7PG-01	TCGA-UC-A7PG-01	0.043	0	6.355
TCGA-EZ-7264-01	TCGA-EZ-7264-01	0.043	0	6.336
TCGA-BB-A5HZ-01	TCGA-BB-A5HZ-01	0.043	0	6.217
TCGA-D3-A1QB-06	TCGA-D3-A1QB-06	0.043	0	6.184
TCGA-BH-A1FD-01	TCGA-BH-A1FD-01	0.043	0	6.183
TCGA-NG-A4VW-01	TCGA-NG-A4VW-01	0.043	0	6.107
TCGA-CN-6012-01	TCGA-CN-6012-01	0.043	0	6.071
TCGA-55-8621-01	TCGA-55-8621-01	0.043	0	6.006
TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y1-01	0.043	0	5.9
TCGA-VV-A829-01	TCGA-VV-A829-01	0.043	0	5.896
TCGA-55-7726-01	TCGA-55-7726-01	0.043	0	5.728
TCGA-IK-8125-01	TCGA-IK-8125-01	0.043	0	5.703
TCGA-DD-AADB-01	TCGA-DD-AADB-01	0.043	0	5.682
TCGA-DD-AACV-01	TCGA-DD-AACV-01	0.043	0	5.593
TCGA-PC-A5DK-01	TCGA-PC-A5DK-01	0.043	0	5.591
TCGA-33-4533-01	TCGA-33-4533-01	0.043	0	5.506
TCGA-BR-8362-01	TCGA-BR-8362-01	0.043	0	5.447
TCGA-2Y-A9H7-01	TCGA-2Y-A9H7-01	0.043	0	5.073
TCGA-06-0648-01	TCGA-06-0648-01	0.043	0	
TCGA-32-2494-01	TCGA-32-2494-01	0.043	0	
TCGA-AA-3870-01	TCGA-AA-3870-01	0.043	0	
TCGA-AG-3898-01	TCGA-AG-3898-01	0.043	0	
TCGA-D7-A74B-01	TCGA-D7-A74B-01	0.043	0	
TCGA-B9-4116-01	TCGA-B9-4116-01	0.042	0	7.581
TCGA-IR-A3LB-01	TCGA-IR-A3LB-01	0.042	0	7.182
TCGA-94-8490-01	TCGA-94-8490-01	0.042	0	6.641
TCGA-94-8491-01	TCGA-94-8491-01	0.042	0	6.512
TCGA-ZM-AA05-01	TCGA-ZM-AA05-01	0.042	0	6.337
TCGA-FD-A43P-01	TCGA-FD-A43P-01	0.042	0	6.323
TCGA-3B-A9HP-01	TCGA-3B-A9HP-01	0.042	0	6.315
TCGA-QN-A5NN-01	TCGA-QN-A5NN-01	0.042	0	6.208
TCGA-24-1843-01	TCGA-24-1843-01	0.042	0	6.175
TCGA-CM-6679-01	TCGA-CM-6679-01	0.042	0	6.101
TCGA-CJ-4882-01	TCGA-CJ-4882-01	0.042	0	6.082
