"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"O14964",7.6041050229223,23.9260989603918,24.7262658150729,3.53103141107266e-10,1.58190207216055e-07,13.0345577232262,"up-regulated"
"P27348",4.13639255704038,20.6208241156745,7.80699721381739,1.61341532609657e-05,0.00132731638869854,3.45314674548831,"up-regulated"
"Q8IY63",3.91374216418276,19.9668290081416,7.71912944349336,1.77765587772126e-05,0.00132731638869854,3.35441937356919,"up-regulated"
"P27694",-3.38522300292917,19.9108836280554,-8.06254145551601,1.22262287433358e-05,0.00132731638869854,3.73508175280408,"down-regulated"
"Q07065",3.36455896502551,23.1014857701491,10.400914044467,1.27519078643369e-06,0.000285642736161147,5.99553582686832,"up-regulated"
"O15018",-2.99455989346485,22.184921195877,-2.35663205233175,0.0405969200741835,0.178029852617829,-4.53396456805626,"down-regulated"
"Q9Y2J4",2.93904460260197,23.3297569715639,5.8750010453728,0.00016726334580703,0.00726004450553765,1.05199036575872,"up-regulated"
"P02787",2.93603875325018,20.2313278226286,3.67946224214876,0.00437501644537074,0.0637709535302329,-2.3109909644795,"up-regulated"
"O14830",-2.9069708130159,23.6201351410466,-1.6253143890952,0.135688111809645,0.307011485306672,-5.65532362395006,"unchanged"
"Q9NWV8",-2.89471699921913,17.1865689062159,-7.01114858911548,4.00438632547312e-05,0.0025628072483028,2.52408281754762,"down-regulated"
"Q4VCS5",2.85592745790175,21.7274891076419,8.37688975917871,8.77101513175843e-06,0.00130980492634259,4.07159420609495,"up-regulated"
"Q9BQG0",-2.80970142380253,20.1816165859877,-3.47902946955969,0.0060851253603207,0.0757260044839909,-2.6467808975152,"down-regulated"
"P63104",2.46036271199499,17.9997476775482,5.82733003365518,0.000178260021341326,0.00726004450553765,0.986230239435615,"up-regulated"
"Q8IX03",2.42657953802273,19.755050391935,3.48424770633952,0.0060327532026754,0.0757260044839909,-2.63800339603708,"up-regulated"
"Q9H0D6",-2.41412437807173,17.911531087497,-5.20927521412794,0.000418798861783799,0.0144324530830109,0.103505631562053,"down-regulated"
"Q9NZN8",2.40470351842916,19.1631761225744,6.30254931022652,9.57893603417213e-05,0.00536420417913639,1.6271284191072,"up-regulated"
"P02768",2.40382624459347,24.8070669384029,2.58582247197498,0.0274960903744573,0.152077141824159,-4.15505546067028,"up-regulated"
"Q9Y295",-2.12072260031597,17.7726747916277,-3.18855833292443,0.00988483289622682,0.0960831808628233,-3.13745715303057,"down-regulated"
"O60232",-2.05949581633053,20.3664122977102,-6.07131034247523,0.000129102449576864,0.0064264330456039,1.3193209195982,"down-regulated"
"P02675",2.04019957442875,17.8895679407806,2.02038774933113,0.0714259933594294,0.219864809265166,-5.07092617072845,"unchanged"
"P53350",-2.00313582141705,16.3554953684973,-3.76523667554257,0.00380414434865511,0.0637709535302329,-2.16826556116752,"down-regulated"
"Q96I25",-1.95988269085124,17.9278899750646,-5.27414770148607,0.000381917210191758,0.0142582425138256,0.198796215940296,"down-regulated"
"Q02878",-1.94729030836597,22.7853698781322,-3.67935893484276,0.00437575551224991,0.0637709535302329,-2.31116324657342,"down-regulated"
"P09661",1.91937637903228,19.301307473898,4.43526727481166,0.00131802337970914,0.0393649649406464,-1.08020137321952,"up-regulated"
"Q07020",-1.80374576232868,19.878737528187,-3.01715978360152,0.0132020690045036,0.108877373511057,-3.42797847806879,"down-regulated"
"P00738",1.79711722027235,18.7989144016471,1.54287898184563,0.154417687078684,0.324300315327109,-5.76857904801634,"unchanged"
"P50990",1.77706119200793,18.8596754873903,4.68616439014976,0.00090039926281386,0.0288127764100435,-0.687239205735871,"up-regulated"
"Q09666",-1.77529514958937,17.9478306208009,-4.3835059067267,0.00142739932944717,0.0399671812245207,-1.1623242883516,"down-regulated"
"Q8NFD5",-1.7284321403907,17.4309218556428,-3.17890841765471,0.0100466630844572,0.0960831808628233,-3.15380702547819,"down-regulated"
"P32969",-1.62818201946212,18.9985861822156,-3.03201712983954,0.0128741017484019,0.108877373511057,-3.40279540630537,"down-regulated"
"Q7Z2W4",-1.59662746971983,18.6971033324313,-4.267854466823,0.00170800497220266,0.044808550258456,-1.34706548036439,"down-regulated"
"P61626",-1.53034199908594,20.4755319563329,-1.9902863735483,0.0750822137771219,0.221981170044301,-5.11750073793873,"unchanged"
"P35269",-1.5273415483865,18.3245712785548,-3.18694969389741,0.00991162300505694,0.0960831808628233,-3.14018255366686,"down-regulated"
"P46782",-1.5088122487151,20.6224672632857,-2.61350499166512,0.0262295142441991,0.148744587106344,-4.10881096813272,"down-regulated"
"P02788",-1.4744517455204,18.4917063234669,-2.99677829735786,0.0136658797752153,0.109327038201722,-3.46252052408199,"down-regulated"
"Q15678",1.45356987450131,22.616562354591,4.18698488507811,0.00193850477052662,0.0453342998795205,-1.47724548457968,"up-regulated"
"O00629",-1.43458927311118,16.8124430844919,-4.12864417843379,0.00212504530685252,0.0453342998795205,-1.57165336073881,"down-regulated"
"P61981",1.42942965817995,18.8650188433759,3.67429592460591,0.00441213661950216,0.0637709535302329,-2.31960774688228,"up-regulated"
"O75177",-1.42232975414641,17.5125858738777,-4.23414993321016,0.00180034353717011,0.044808550258456,-1.40122334624038,"down-regulated"
"P19338",-1.39614093710919,19.5517221502045,-3.80352570473798,0.00357497550997987,0.0637709535302329,-2.10476815956089,"down-regulated"
"P51532",-1.38039065501153,20.5666048024057,-4.14813218347663,0.00206071292198614,0.0453342998795205,-1.54007232216118,"down-regulated"
"P13010",-1.3721353246126,23.0180485341271,-2.67806715465919,0.0234972275810104,0.144202163784831,-4.00064962469709,"down-regulated"
"P16403",-1.36998837172443,21.4298992173683,-2.91571534946186,0.015680763276631,0.115163638490667,-3.59982167388933,"down-regulated"
"Q86U42",-1.35058580755932,18.8688483716825,-3.74873513571952,0.00390759759761217,0.0637709535302329,-2.19567293621521,"down-regulated"
"Q9BZE4",-1.34820026623677,19.9491119318467,-2.83613282282773,0.0179522757389599,0.12566593017272,-3.73440624406337,"down-regulated"
"Q9BY77",-1.34712364944454,18.1331440891584,-3.6742147839036,0.00441272223088665,0.0637709535302329,-2.3197430972979,"down-regulated"
"Q07666",-1.33516364977791,20.3345917460541,-3.21765413299329,0.00941290117729646,0.0960831808628233,-3.08817148850562,"down-regulated"
"Q16629",-1.30092255612866,18.4663449965222,-3.56389054852168,0.00528898720975915,0.069690184410944,-2.50425663613293,"down-regulated"
"Q15532",-1.29567905416911,18.1405314524941,-4.00729318588448,0.00257629576705086,0.0524627501653993,-1.76929852593364,"down-regulated"
"Q9HCS5",-1.29021768048068,18.6401778621212,-3.77745531116611,0.00372938892760323,0.0637709535302329,-2.1479877047963,"down-regulated"
"P47914",-1.28847793919856,17.7794352245629,-2.24989101192144,0.0486292373929296,0.187828453972297,-4.70734036973557,"down-regulated"
"P98175",-1.28797159428875,19.0642814963895,-3.41265987650964,0.00679388297044434,0.0808037690143247,-2.7585592043138,"down-regulated"
"P46781",-1.26107221429605,19.1385762082841,-3.12602696670006,0.010983005403832,0.10111947892538,-3.24342915260725,"down-regulated"
"Q8IWX8",-1.25963606162342,18.7129912641129,-3.39176806679459,0.0070342566775863,0.0808037690143247,-2.79379455605791,"down-regulated"
"Q9NR30",-1.24842040298378,19.0443052464452,-3.96473282119434,0.00275755354010326,0.0537123472159243,-1.83900821735046,"down-regulated"
"O14497",-1.22294926610383,17.9471154897728,-2.96517329114563,0.0144181384840523,0.111367690359576,-3.51607022698969,"down-regulated"
"O75223",-1.20380589755474,18.4275359652217,-2.24256953267821,0.0492335466568624,0.187828453972297,-4.71914433698611,"down-regulated"
"P07910",-1.20303496690297,22.4141691086514,-2.88808404650865,0.016434445016531,0.117688090543027,-3.64657896173535,"down-regulated"
"O75131",-1.18711369026399,17.3641660900267,-2.38360488369346,0.0387818172696859,0.175085808699167,-4.48980260998564,"down-regulated"
"Q92785",-1.18598139767059,20.1305184629026,-3.59671133991463,0.00501082138961971,0.0685239662278963,-2.44926774085699,"down-regulated"
"P41091",-1.18566528787583,20.063258095867,-2.68792999427877,0.0231056666995202,0.143829194285686,-3.98409174595654,"down-regulated"
"Q15427",-1.18338388861545,17.7649098483171,-2.88396543814287,0.0165498877326131,0.117688090543027,-3.65354599074493,"down-regulated"
"Q13155",-1.17886727145863,17.8393139011754,-2.50097345304895,0.0317694939907716,0.161735605771201,-4.29622477183054,"down-regulated"
"P06748",-1.16287170696203,20.4343239734015,-2.92754080239524,0.0153690073568268,0.114755254930974,-3.57980291623836,"down-regulated"
"O96019",-1.16017695843536,19.8352953660479,-2.23469135764582,0.0498919330863914,0.187828453972297,-4.73183233857313,"down-regulated"
"Q99729",-1.15790983755294,16.7041981637852,-3.03286791135437,0.0128555746183772,0.108877373511057,-3.40135327304247,"down-regulated"
"Q96GA3",-1.15512558365014,19.3764942634135,-3.34319954684483,0.00762765038872837,0.0833460335158612,-2.87579034795765,"down-regulated"
"Q9UKV8",-1.14371182096536,19.1664325981586,-3.08923073480335,0.0116868669436906,0.104714327815468,-3.30580588727861,"down-regulated"
"P43243",-1.14368059395163,20.1998158501889,-3.40646736698736,0.00686423267082703,0.0808037690143247,-2.7690009199063,"down-regulated"
"P0DMV9",1.1265142378915,24.7189889882253,3.37172939285145,0.00727308195532119,0.0814585178995973,-2.8276114953302,"up-regulated"
"Q02779",-1.12093901125063,16.1798062296171,-2.76097206237832,0.0204024175397793,0.13642213519136,-3.8612210999492,"down-regulated"
"Q8NC51",-1.10955699335474,21.8191567105981,-2.75093529735792,0.0207541581132312,0.136733276981288,-3.87812864036488,"down-regulated"
"O95271",-1.10118262819919,22.7283428158847,-3.5922737066487,0.00504752429803701,0.0685239662278963,-2.4566980497849,"down-regulated"
"Q8IUI4",-1.09572759854726,18.705906289246,-2.24340739924467,0.0491640226579922,0.187828453972297,-4.71779410586052,"down-regulated"
"Q9UN86",-1.08873912692738,17.3596076242001,-2.51881884163807,0.0308191774162554,0.160546412587005,-4.26661143954889,"down-regulated"
"B5ME19",-1.08499893732602,20.4164517914144,-2.98603551250639,0.0139169912818709,0.109382668320669,-3.48072458125703,"down-regulated"
"O94776",-1.06585304930059,18.5155657737352,-2.19712963487078,0.0531499299155476,0.195729753645379,-4.79212867024095,"unchanged"
"Q13435",-1.05703579278353,20.1571272683757,-2.25500056567119,0.0482117667434107,0.187828453972297,-4.69909547407064,"down-regulated"
"Q15018",-1.05446245713079,18.3720895888931,-2.81443639502073,0.0186274049884434,0.128385806689579,-3.771047149047,"down-regulated"
"Q08188",-1.05209438649283,22.1233767515305,-2.07810750873991,0.0648821429857584,0.210631884475505,-4.98083913308061,"unchanged"
"Q92922",-1.04727931590713,21.0659779396043,-3.26736920479087,0.00865940545854171,0.0923669915577782,-3.00400770197961,"down-regulated"
"Q14997",-1.04675360154707,16.0960060540514,-2.92806118006422,0.0153554339338002,0.114755254930974,-3.57892189361047,"down-regulated"
"P09012",-1.04620078574733,20.4597528651243,-3.12188912245889,0.0110599430074635,0.10111947892538,-3.25044319452785,"down-regulated"
"P18887",-1.0432924282747,17.216070165458,-2.7649246446545,0.020265549712107,0.13642213519136,-3.85456083183685,"down-regulated"
"P04792",-1.0392521232518,19.0772227166996,-1.34440539699499,0.209021639978319,0.396786841992741,-6.02591465940011,"unchanged"
"Q14145",1.03839878697029,18.1664210326899,2.70129606121312,0.0225854365579885,0.143829194285686,-3.96163916279651,"up-regulated"
"P02671",1.03078003412168,18.9920922042078,0.814786670868637,0.434492291737962,0.584542182278099,-6.58011864768539,"unchanged"
"O43143",-1.01662039175128,20.4227364128402,-2.66178360953487,0.0241582844985935,0.144305486071599,-4.02796751797469,"down-regulated"
"P78559",-1.01428772557027,17.2324741618701,-2.6876826461575,0.0231154062244852,0.143829194285686,-3.98450710191141,"down-regulated"
"P55884",-1.01335944788073,18.5492532465001,-3.17693121780467,0.0100801551351623,0.0960831808628233,-3.15715720626367,"down-regulated"
"O00148",-1.01293993505305,18.115552518486,-1.88260577742677,0.0896547573016744,0.243426250128183,-5.2816256459359,"unchanged"
"P24821",-1.01146499204967,20.3336013204967,-2.69912963024288,0.0226689535409078,0.143829194285686,-3.9652794040891,"down-regulated"
"P35579",1.00653810607566,18.296922621266,2.5734822594589,0.0280801496159712,0.153413500340916,-4.17564220770787,"up-regulated"
"Q01081",-0.992949839961778,20.9474418416728,-2.31900586699402,0.0432684504898199,0.182870432258861,-4.59534209429155,"unchanged"
"P11310",-0.985159855960763,17.7124590084923,-1.96693809621827,0.0780390867984396,0.222684782711471,-5.15342498292005,"unchanged"
"P62906",-0.978053718968599,21.6018462361563,-2.62111582775688,0.0258915991147146,0.148710723120412,-4.09608222942922,"unchanged"
"Q14444",-0.973638352855854,17.654504184945,-2.37364251104688,0.039442765869587,0.175085808699167,-4.50612906255663,"unchanged"
"Q9NZI8",-0.949240135441098,20.8157883191533,-2.50670524559713,0.0314611393988017,0.161735605771201,-4.2867179722125,"unchanged"
"P0C0L4",0.948294469966253,19.2204143734153,0.989265234580998,0.346260784452775,0.510279050772511,-6.42170381140107,"unchanged"
"P06493",0.948147944795757,19.8265616070503,1.5508300474507,0.152516627415395,0.323826772900933,-5.75780809851419,"unchanged"
"O15042",-0.946231486945557,18.6860367253042,-3.00984554778717,0.013366641837295,0.108877373511057,-3.44037512090703,"unchanged"
"P12956",-0.946108234425079,23.3891364095462,-1.67053927654358,0.126297746582865,0.291656651902698,-5.59175780768286,"unchanged"
