"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q9NX63",0.771154852417499,16.7831729310752,1.25624869070378,0.239789502288443,0.687201622412002,-5.82216010113175,"unchanged"
"P14324",0.760538324916519,16.363447540338,1.62744179722051,0.137132952501901,0.559688145309985,-5.34940245295177,"unchanged"
"P12236",0.752196442313355,19.7256891711042,2.05005976423529,0.0697302404244551,0.420169397429409,-4.73518610942389,"unchanged"
"P22528",0.750803934672408,19.9138733631911,1.85845953127363,0.0951186898387348,0.471475540073816,-5.02153328426423,"unchanged"
"P25205",-0.743682377722273,17.7839362616857,-1.60348390992314,0.142339336953888,0.566944816680739,-5.38210454165745,"unchanged"
"Q5T750",0.731422277248708,18.7874780096266,1.23068698257357,0.248780495876001,0.695993053938813,-5.85171923123346,"unchanged"
"P20930",0.728513317276363,19.486816507373,0.788666978046834,0.450023191703212,0.873037487850949,-6.28663978662131,"unchanged"
"O96019",-0.726907144017208,19.9096087502679,-1.87331802776765,0.0928740687572387,0.471475540073816,-4.99974626592724,"unchanged"
"O43819",0.719287504410268,16.3906130987984,1.70484036658119,0.12146634260578,0.5417618501594,-5.24198833832204,"unchanged"
"Q86VX9",-0.699520858964203,19.2595981851232,-1.31500796705519,0.220135088244888,0.671840853734398,-5.75261207975121,"unchanged"
"Q8IWZ3",-0.696861430915671,17.7549734871997,-1.75381088605021,0.112414919894067,0.528350123502117,-5.17270912594371,"unchanged"
"P62987",0.691960689481505,22.7445009023953,1.85076181931169,0.0963013869086942,0.471475540073816,-5.03279019951546,"unchanged"
"Q16891",0.681006246723111,17.2670114847971,1.62869937997069,0.136864451131464,0.559688145309985,-5.34767853568927,"unchanged"
"Q9HCE1",-0.668090948824123,15.9723469818984,-1.67969630270836,0.126368006167896,0.548306144794328,-5.27717103511778,"unchanged"
"Q08211",-0.664876563300727,22.2686221578593,-1.95064943416399,0.0819726052757729,0.469842981458699,-4.88516633261175,"unchanged"
"Q01081",0.663756591654995,20.8378963845795,1.90608522685984,0.0880981809998878,0.471475540073816,-4.95143434451665,"unchanged"
"P46821",-0.659591548380071,17.6032483648522,-1.16020014127513,0.275001703037394,0.7428206921125,-5.93095047860034,"unchanged"
"P11940",-0.650872950758561,19.6274003790379,-1.66989471995465,0.128326970058247,0.548306144794328,-5.29081204643339,"unchanged"
"Q02978",0.646842219614232,17.1636981744284,1.18485238868219,0.265589482741604,0.734276805226788,-5.90362734309887,"unchanged"
"O43548",-0.640038581539564,17.5731363635264,-1.43653222043691,0.183759166516229,0.629238831653654,-5.60209856497043,"unchanged"
"P31025",-0.63816271889247,18.5349525796448,-0.853312213096543,0.415010486642171,0.866742699583912,-6.23286626715301,"unchanged"
"P13639",0.628287815655298,17.9480780981893,1.38667013394962,0.198010034685536,0.637429563713711,-5.6649029879444,"unchanged"
"P60174",-0.618417879584047,18.5431956916869,-1.58725670683145,0.145965650372135,0.571698797290863,-5.40410121278187,"unchanged"
"P14866",0.615382959351543,17.6305740036176,1.40062818095064,0.193928302699717,0.637429563713711,-5.64746515933294,"unchanged"
"Q9BUJ2",0.613519256690882,17.0730546777753,1.46729701489597,0.175415500834389,0.629238831653654,-5.56265398338338,"unchanged"
"Q06830",0.609411301867809,21.3428209011914,1.75952625657662,0.111399870570327,0.528350123502117,-5.16456028061109,"unchanged"
"P15311",0.604951605785654,16.5214177694774,1.26197324498437,0.237813011560569,0.687201622412002,-5.81548165464436,"unchanged"
"Q13247",-0.599153936569188,17.9779896789902,-1.43294081327539,0.184755231421711,0.629238831653654,-5.6066691846548,"unchanged"
"Q9Y285",-0.596054086382807,17.1772277249045,-1.41047252687355,0.191093067123145,0.637429563713711,-5.63509909808469,"unchanged"
"Q92734",-0.591644333698966,23.1664677813805,-1.54663484058505,0.155407234522672,0.589043550206901,-5.45860783213993,"unchanged"
"P32119",0.550173712226499,21.2068488647404,1.62276426504579,0.138135797565869,0.559688145309985,-5.35580811806257,"unchanged"
"P68363",0.549283786187701,22.6580360774866,1.3438029090432,0.211006302804789,0.661153082121672,-5.71774127509826,"unchanged"
"Q96PK6",-0.530729879158333,20.5354141371467,-1.23073157981559,0.248764572501622,0.695993053938813,-5.85166803564698,"unchanged"
"P40429",0.527589254876247,17.610996727129,0.809790851439495,0.438371329790794,0.873037487850949,-6.26947059522862,"unchanged"
"P17844",-0.527449351673681,24.362208859301,-1.39514905390202,0.195521889245926,0.637429563713711,-5.65432369205014,"unchanged"
"P04279",-0.52531493349289,18.3906853588314,-0.679184045684143,0.513636015624161,0.873037487850949,-6.3691827204074,"unchanged"
"Q9P2E9",-0.509277336871826,22.5479035325464,-1.44574394430979,0.181225529278752,0.629238831653654,-5.590342463085,"unchanged"
"P23246",-0.505748938614676,22.2113538198286,-1.12364135698734,0.289446862222246,0.764269804744133,-5.97068181350059,"unchanged"
"Q00839",-0.503079467918269,22.1426091289229,-1.51386424728373,0.163414303001115,0.607999785484542,-5.50198015866506,"unchanged"
"P0DMV9",0.500355460223489,22.5078444102359,1.27135263910051,0.23460368695882,0.687201622412002,-5.80449345951794,"unchanged"
"Q07666",-0.495441886257748,19.5092343928684,-1.02839273432807,0.329874488191271,0.808355121917802,-6.06960178182638,"unchanged"
"P68871",-0.475880612909275,20.2709594929475,-1.27170820323397,0.234482732049799,0.687201622412002,-5.80407579054069,"unchanged"
