"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q86YZ3",1.7373596104391,26.3964993617858,4.53563011740758,0.00111976379882384,0.0179722089711226,-0.706024695884508,"up-regulated"
"Q9Y4W2",-1.71563558493633,19.6069386287409,-3.35260465920052,0.0074702867754368,0.0470188638218669,-2.61151015141769,"down-regulated"
"P33993",1.70832102675703,18.4539033948061,3.83295570269476,0.00338540988742041,0.0319622521724103,-1.81972371225689,"up-regulated"
"P15924",1.69725312257064,28.5617075703316,4.12445826436311,0.00212223049563886,0.0248458173336147,-1.35016756127429,"up-regulated"
"P26368",-1.6767859012879,20.1283649688648,-3.63837980647057,0.00465078739274508,0.0392869145545045,-2.13817138014224,"down-regulated"
"Q9Y5X1",1.67568306460955,19.3499046071932,4.04870825716856,0.00239352640066832,0.0264938611936046,-1.47123398038355,"up-regulated"
"P84098",1.66293942148357,19.5090175014078,2.38984769404245,0.0382847316443483,0.123608612007691,-4.21149255753433,"up-regulated"
"P23490",1.65272647229152,21.0181203794608,3.76095582450832,0.00380556580240946,0.033932961738151,-1.93713611220875,"up-regulated"
"P55084",1.62389535244143,20.0545158647548,3.23113013509546,0.00915870541232675,0.0535771814976636,-2.81414605073549,"up-regulated"
"P14618",1.60136482441298,22.4385954982205,3.79809043254186,0.00358245438745649,0.0328562245249581,-1.87651418273469,"up-regulated"
"P12956",1.57681950961355,20.3050021280286,2.0055144926946,0.0731030066798062,0.18050819341706,-4.81969916512989,"unchanged"
"P26641",1.56302145238669,19.9189494490148,3.90500994685156,0.00301328651068627,0.031202095804203,-1.70276244148973,"up-regulated"
"O43548",1.55711582536291,19.8497050744799,3.44635955434766,0.00638887817454619,0.0445832585658549,-2.45561339516165,"up-regulated"
"P62241",-1.55386282509824,21.9200722501664,-3.35817789248263,0.00740099863733135,0.0470188638218669,-2.60222927476299,"down-regulated"
"P06702",-1.54721450571979,22.9349521872441,-1.84021954111936,0.0959702031157234,0.209135930605267,-5.068427859538,"unchanged"
"Q14974",1.5192539229684,19.83431069567,2.95563342331417,0.0145968573266878,0.0709938060888905,-3.2750029094699,"up-regulated"
"P26373",1.51636611660913,21.5946830035798,2.31580633911283,0.0434107215911679,0.131090530430783,-4.33120986712646,"up-regulated"
"Q15018",1.50297647949192,20.6756549562017,3.83857553281149,0.00335472561241517,0.0319622521724103,-1.81058156712887,"up-regulated"
"A8K2U0",1.49499495288958,19.9764839538231,2.14098571101776,0.0583032043657975,0.156096168272024,-4.60941595667289,"unchanged"
"P14923",1.49474887052142,26.9456322994806,3.46522666865161,0.00619158928040712,0.0445832585658549,-2.42430498306764,"up-regulated"
"P00338",1.48590595136562,19.8402525910007,3.37257623199264,0.00722504852533735,0.0470188638218669,-2.57825980478467,"up-regulated"
"O75323",1.48002546969125,19.1627006767707,3.57895314455647,0.00512887608960822,0.0411592306191059,-2.23611189785426,"up-regulated"
"P49411",1.47257977863878,22.7866835753601,2.79941890963991,0.0190447991920976,0.0815117405421778,-3.53596862367329,"up-regulated"
"Q01469",1.46009158602214,24.7457484788505,3.41133462595776,0.0067725666449721,0.0462551892135328,-2.51379370200254,"up-regulated"
"P50914",-1.45469201994855,21.7294577976414,-1.99961269691736,0.0738226920966421,0.18089377223681,-4.82873768652767,"unchanged"
"P22528",1.45126918840156,21.5130331103349,3.45991229310008,0.00624651361614658,0.0445832585658549,-2.43312140942393,"up-regulated"
"P18124",-1.44916094603752,22.2223705254101,-2.70855069234875,0.0222380510928116,0.09143570997832,-3.68723316097547,"down-regulated"
"O75342",1.43843305549361,20.6376486441485,3.03496251162473,0.0127575354751755,0.0661564672353613,-3.14225960648076,"up-regulated"
