"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"O95271",-5.08691448685066,20.5528932119679,-7.5500506724567,6.88708206936283e-05,0.0112603791834082,2.24469132000754,"down-regulated"
"P12268",-3.14256204348393,21.2004193693585,-8.26697183213922,3.60704251197472e-05,0.0112603791834082,2.85920716182154,"down-regulated"
"Q9NTX7",-2.87942519581189,24.8608213076359,-6.84470691952582,0.000136617092307379,0.0148912630615043,1.58080283908326,"down-regulated"
"Q9UGM3",2.58150300514616,18.5292570755075,4.2998830000356,0.00266426331336834,0.217803525867862,-1.39814542898527,"up-regulated"
"Q96AG4",1.99572927816752,19.2217005583642,2.25727098865364,0.0542046784881218,0.998550108246473,-4.41893119796791,"unchanged"
"P32119",-1.89872616776886,17.8920245934437,-2.68943861566459,0.027715160111528,0.998550108246473,-3.76251149098721,"down-regulated"
"Q8NF86",-1.87756191445913,18.1832515254965,-3.30761327560066,0.01085541457336,0.591620094248118,-2.82399589758981,"down-regulated"
"P27635",-1.84012607955023,16.5410112571091,-1.72997976136782,0.12218238665874,0.998550108246473,-5.18301633103961,"unchanged"
"P11387",1.67387267809328,18.3604841908886,2.26150379705184,0.0538489288469801,0.998550108246473,-4.41257799387495,"unchanged"
"P78527",1.66900448043807,19.0673879856543,3.81396998878554,0.00520919203944536,0.340681159379727,-2.07992563180761,"up-regulated"
"P20700",-1.60869233163903,16.6811240000623,-1.9931108122999,0.0816617783769275,0.998550108246473,-4.80973944332606,"unchanged"
"P04792",-1.58456804443158,20.7163359020686,-1.42501332071454,0.192264558313829,0.998550108246473,-5.58464770258971,"unchanged"
"Q8TAV0",1.56299634397332,17.9793606667735,1.39364853510562,0.201204447829318,0.998550108246473,-5.62352436557262,"unchanged"
"Q15018",-1.47652701597532,18.3724969012745,-1.13896413990985,0.287922667642815,0.998550108246473,-5.91842047801074,"unchanged"
"P62714",-1.43285281932252,17.4788646408602,-1.60478043769759,0.147506616108466,0.998550108246473,-5.35265804596087,"unchanged"
"P31947",-1.42278113022853,19.0599496587334,-1.78882190040748,0.111734785353585,0.998550108246473,-5.10133595667656,"unchanged"
"Q8WZ42",1.41544753979884,20.4098314636906,1.77949380121217,0.113333048558389,0.998550108246473,-5.11436111156485,"unchanged"
"Q13112",-1.38139374681993,16.9719692505083,-1.47157158100026,0.17963873423737,0.998550108246473,-5.52601797242794,"unchanged"
"P55084",1.3479231577299,17.797120604663,1.82545463781465,0.105661627016698,0.998550108246473,-5.04991808519909,"unchanged"
"P02768",-1.30984779675765,23.2664561480435,-1.58225118222398,0.15254594918843,0.998550108246473,-5.38252701577276,"unchanged"
"P26196",-1.2682234830173,17.6618467874426,-2.67843874905329,0.0281897654813732,0.998550108246473,-3.77932279622065,"down-regulated"
"O14654",1.23286189126523,17.8350412827305,2.45068246418197,0.040121754244911,0.998550108246473,-4.12666368224816,"up-regulated"
"Q16778",-1.22710151296096,18.9608895382949,-1.42876372673904,0.191219272666597,0.998550108246473,-5.57996512427116,"unchanged"
"Q12905",1.21790757013568,20.5773365090421,1.53471025953508,0.163696621272243,0.998550108246473,-5.44484137829319,"unchanged"
"P04083",-1.20663427219668,18.6930273220286,-0.728453298507415,0.48726815974368,0.998550108246473,-6.29757547119402,"unchanged"
"P31151",-1.19263125390667,20.8291798133533,-1.67225774612238,0.133311640876876,0.998550108246473,-5.26196763346676,"unchanged"
"P16403",-1.18274215984717,21.7772220491518,-1.67128767417848,0.133506468212427,0.998550108246473,-5.2632839936207,"unchanged"
"Q9H2U1",-1.14681633029939,18.2659772000814,-1.98027888334186,0.0832957434431561,0.998550108246473,-4.82837542706356,"unchanged"
"O60547",-1.13889573446114,18.4314575284842,-1.65459543173111,0.136900383663695,0.998550108246473,-5.28587870600766,"unchanged"
"P47929",-1.1238457132488,19.8825916650821,-1.05037868293955,0.324469014833271,0.998550108246473,-6.01121998810521,"unchanged"
"Q3MHD2",-1.05004923451769,17.6126096018839,-1.33240904941527,0.21970722032165,0.998550108246473,-5.69791745806064,"unchanged"
"Q16777",-1.03896835149678,19.0986959533699,-2.14551287533715,0.0644889701770136,0.998550108246473,-4.58575602073355,"unchanged"
"P08865",1.02216561031841,17.9882190505516,1.21398676145317,0.259634652524886,0.998550108246473,-5.8356710105621,"unchanged"
"Q14210",-1.01120323187697,18.1562104516287,-1.02273216892904,0.336590545492095,0.998550108246473,-6.03903367697987,"unchanged"
"Q8IW75",1.00456412590539,18.8916831183843,1.4238521133122,0.192589218700244,0.998550108246473,-5.58609607671794,"unchanged"
"Q01813",-0.942334691068481,17.1677610527071,-2.02047696151216,0.0782801774331523,0.998550108246473,-4.76987024898393,"unchanged"
"P12524",-0.9294399175132,17.9882951522039,-1.87644581292769,0.0977271893512082,0.998550108246473,-4.97767382235737,"unchanged"
"P13010",-0.917685058099572,18.9019468579765,-2.43122538386347,0.0413537183160313,0.998550108246473,-4.15621755836385,"unchanged"
"O75342",0.838029364239564,18.4031445363733,1.33536235045901,0.218782348052947,0.998550108246473,-5.69437721157251,"unchanged"
"Q13049",0.832982301680442,19.0487950808544,1.80061016922986,0.109745378374025,0.998550108246473,-5.08483572220467,"unchanged"
"Q9UJT2",0.821407846142915,18.8328435150168,2.128946957831,0.0661691396406951,0.998550108246473,-4.61031719136591,"unchanged"
"O43809",0.817253514576706,21.269568533437,1.27475097799327,0.238444930087181,0.998550108246473,-5.766032821217,"unchanged"
"P62805",0.810918651889008,18.9094312041783,0.829143494798631,0.431249121654954,0.998550108246473,-6.21722949187381,"unchanged"
