sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-OR-A5K6-01	TCGA-OR-A5K6-01	0.004	0	3.432
TCGA-RW-A7D0-01	TCGA-RW-A7D0-01	0.004	0	3.432
TCGA-WB-A80V-01	TCGA-WB-A80V-01	0.004	0	3.432
TCGA-WB-A80P-01	TCGA-WB-A80P-01	0.004	0	3.43
TCGA-S9-A6WN-01	TCGA-S9-A6WN-01	0.004	0	3.414
TCGA-EJ-5517-01	TCGA-EJ-5517-01	0.004	0	3.41
TCGA-A2-A25C-01	TCGA-A2-A25C-01	0.004	0	3.403
TCGA-58-8390-01	TCGA-58-8390-01	0.004	0	3.398
TCGA-AO-A0JC-01	TCGA-AO-A0JC-01	0.004	0	3.397
TCGA-DJ-A13T-01	TCGA-DJ-A13T-01	0.004	0	3.372
TCGA-CH-5739-01	TCGA-CH-5739-01	0.004	0	3.368
TCGA-E2-A15P-01	TCGA-E2-A15P-01	0.004	0	3.365
TCGA-B6-A0RT-01	TCGA-B6-A0RT-01	0.004	0	3.363
TCGA-A8-A09V-01	TCGA-A8-A09V-01	0.004	0	3.362
TCGA-QR-A70I-01	TCGA-QR-A70I-01	0.004	0	3.351
TCGA-DX-A3LS-01	TCGA-DX-A3LS-01	0.004	0	3.312
TCGA-TM-A84S-01	TCGA-TM-A84S-01	0.004	0	3.308
TCGA-D8-A27P-01	TCGA-D8-A27P-01	0.004	0	3.306
TCGA-PJ-A5Z8-01	TCGA-PJ-A5Z8-01	0.004	0	3.299
TCGA-AC-A2B8-01	TCGA-AC-A2B8-01	0.004	0	3.278
TCGA-E9-A2JT-01	TCGA-E9-A2JT-01	0.004	0	3.271
TCGA-SR-A6MX-01	TCGA-SR-A6MX-01	0.004	0	3.266
TCGA-ET-A3DT-01	TCGA-ET-A3DT-01	0.004	0	3.263
TCGA-AO-A03P-01	TCGA-AO-A03P-01	0.004	0	3.26
TCGA-A8-A07S-01	TCGA-A8-A07S-01	0.004	0	3.237
TCGA-AN-A0FF-01	TCGA-AN-A0FF-01	0.004	0	3.234
TCGA-DJ-A1QG-01	TCGA-DJ-A1QG-01	0.004	0	3.234
TCGA-B6-A0IC-01	TCGA-B6-A0IC-01	0.004	0	3.213
TCGA-CF-A9FM-01	TCGA-CF-A9FM-01	0.004	0	3.199
TCGA-P8-A6RY-01	TCGA-P8-A6RY-01	0.004	0	3.195
TCGA-EL-A3D4-01	TCGA-EL-A3D4-01	0.004	0	3.168
TCGA-B6-A0IP-01	TCGA-B6-A0IP-01	0.004	0	3.156
TCGA-BH-A0AZ-01	TCGA-BH-A0AZ-01	0.004	0	3.152
TCGA-VM-A8CH-01	TCGA-VM-A8CH-01	0.004	0	3.148
TCGA-KC-A4BN-01	TCGA-KC-A4BN-01	0.004	0	3.144
TCGA-KK-A8IM-01	TCGA-KK-A8IM-01	0.004	0	3.123
TCGA-4V-A9QX-01	TCGA-4V-A9QX-01	0.004	0	3.108
TCGA-F5-6864-01	TCGA-F5-6864-01	0.004	0	3.099
TCGA-EJ-7115-01	TCGA-EJ-7115-01	0.004	0	3.094
TCGA-CV-A468-01	TCGA-CV-A468-01	0.004	0	3.091
TCGA-BR-8384-01	TCGA-BR-8384-01	0.004	0	3.089
TCGA-ET-A39S-01	TCGA-ET-A39S-01	0.004	0	3.077
TCGA-29-1696-01	TCGA-29-1696-01	0.004	0	3.069
TCGA-3G-AB19-01	TCGA-3G-AB19-01	0.004	0	3.055
TCGA-G9-6348-01	TCGA-G9-6348-01	0.004	0	3.052
TCGA-D5-6541-01	TCGA-D5-6541-01	0.004	0	3.048
TCGA-X7-A8M8-01	TCGA-X7-A8M8-01	0.004	0	3.045
TCGA-A3-3335-01	TCGA-A3-3335-01	0.004	0	3.034
TCGA-DV-5569-01	TCGA-DV-5569-01	0.004	0	3.032
TCGA-OR-A5JB-01	TCGA-OR-A5JB-01	0.004	0	3.022
TCGA-BH-A0BC-01	TCGA-BH-A0BC-01	0.004	0	3.006
TCGA-IR-A3LF-01	TCGA-IR-A3LF-01	0.004	0	3.002
TCGA-CJ-4903-01	TCGA-CJ-4903-01	0.004	0	2.997
TCGA-VS-A9UJ-01	TCGA-VS-A9UJ-01	0.004	0	2.995
TCGA-CE-A3MD-01	TCGA-CE-A3MD-01	0.004	0	2.984
TCGA-E9-A227-01	TCGA-E9-A227-01	0.004	0	2.962
TCGA-67-6216-01	TCGA-67-6216-01	0.004	0	2.958
TCGA-IB-A7M4-01	TCGA-IB-A7M4-01	0.004	0	2.921
TCGA-55-8207-01	TCGA-55-8207-01	0.004	0	2.913
TCGA-EJ-7218-01	TCGA-EJ-7218-01	0.004	0	2.899
TCGA-TS-A7P7-01	TCGA-TS-A7P7-01	0.004	0	2.85
TCGA-B7-5816-01	TCGA-B7-5816-01	0.004	0	2.84
TCGA-MP-A4TH-01	TCGA-MP-A4TH-01	0.004	0	2.828
TCGA-RT-A6YC-01	TCGA-RT-A6YC-01	0.004	0	2.791
TCGA-D1-A3DG-01	TCGA-D1-A3DG-01	0.004	0	2.776
TCGA-FY-A40K-01	TCGA-FY-A40K-01	0.004	0	2.77
TCGA-BC-4073-01	TCGA-BC-4073-01	0.004	0	2.734
TCGA-4Z-AA86-01	TCGA-4Z-AA86-01	0.004	0	2.71
TCGA-XF-AAN3-01	TCGA-XF-AAN3-01	0.004	0	2.667
TCGA-B6-A0X0-01	TCGA-B6-A0X0-01	0.004	0	2.635
TCGA-G9-6339-01	TCGA-G9-6339-01	0.004	0	2.625
TCGA-AJ-A3BH-01	TCGA-AJ-A3BH-01	0.004	0	2.621
TCGA-ZB-A96G-01	TCGA-ZB-A96G-01	0.004	0	2.607
TCGA-J4-AATV-01	TCGA-J4-AATV-01	0.004	0	2.597
TCGA-V1-A9ZR-01	TCGA-V1-A9ZR-01	0.004	0	2.58
TCGA-MH-A856-01	TCGA-MH-A856-01	0.004	0	2.571
TCGA-L9-A50W-01	TCGA-L9-A50W-01	0.004	0	2.566
TCGA-BP-4341-01	TCGA-BP-4341-01	0.004	0	2.546
TCGA-J9-A52C-01	TCGA-J9-A52C-01	0.004	0	2.541
TCGA-DS-A0VM-01	TCGA-DS-A0VM-01	0.004	0	2.526
TCGA-30-1892-01	TCGA-30-1892-01	0.004	0	2.504
TCGA-MM-A84U-01	TCGA-MM-A84U-01	0.004	0	2.501
TCGA-AO-A03T-01	TCGA-AO-A03T-01	0.004	0	2.483
TCGA-ZJ-AAXI-01	TCGA-ZJ-AAXI-01	0.004	0	2.431
TCGA-DX-A7EO-01	TCGA-DX-A7EO-01	0.004	0	2.398
TCGA-DJ-A1QL-01	TCGA-DJ-A1QL-01	0.004	0	2.376
TCGA-ET-A40P-01	TCGA-ET-A40P-01	0.004	0	2.316
TCGA-CF-A9FL-01	TCGA-CF-A9FL-01	0.004	0	2.293
TCGA-2Y-A9GX-01	TCGA-2Y-A9GX-01	0.004	0	2.284
TCGA-5V-A9RR-01	TCGA-5V-A9RR-01	0.004	0	2.248
TCGA-G7-6796-01	TCGA-G7-6796-01	0.004	0	2.233
TCGA-DX-A7ER-01	TCGA-DX-A7ER-01	0.004	0	2.189
TCGA-DD-A39W-01	TCGA-DD-A39W-01	0.004	0	2.141
TCGA-RW-A680-01	TCGA-RW-A680-01	0.004	0	2.135
TCGA-BP-4969-01	TCGA-BP-4969-01	0.004	0	2.115
TCGA-QR-A6H3-01	TCGA-QR-A6H3-01	0.004	0	1.982
TCGA-3G-AB0T-01	TCGA-3G-AB0T-01	0.004	0	1.884
TCGA-CF-A8HX-01	TCGA-CF-A8HX-01	0.004	0	1.868
TCGA-G3-AAV3-01	TCGA-G3-AAV3-01	0.004	0	1.795
TCGA-DD-AAW3-01	TCGA-DD-AAW3-01	0.004	0	1.774
TCGA-2Y-A9H8-01	TCGA-2Y-A9H8-01	0.004	0	1.753
TCGA-2Y-A9H9-01	TCGA-2Y-A9H9-01	0.004	0	1.66
TCGA-DD-AACL-01	TCGA-DD-AACL-01	0.004	0	1.628
TCGA-DD-A11D-01	TCGA-DD-A11D-01	0.004	0	1.481
TCGA-KR-A7K8-01	TCGA-KR-A7K8-01	0.004	0	1.357
TCGA-FF-8062-01	TCGA-FF-8062-01	0.004	0	1.252
TCGA-02-0111-01	TCGA-02-0111-01	0.004	0	
TCGA-08-0516-01	TCGA-08-0516-01	0.004	0	
TCGA-AA-3520-01	TCGA-AA-3520-01	0.004	0	
TCGA-AA-A024-01	TCGA-AA-A024-01	0.004	0	
TCGA-AB-2923-03	TCGA-AB-2923-03	0.004	0	
TCGA-BG-A186-01	TCGA-BG-A186-01	0.004	0	
TCGA-BS-A0UJ-01	TCGA-BS-A0UJ-01	0.004	0	
TCGA-D1-A1NY-01	TCGA-D1-A1NY-01	0.004	0	
TCGA-X7-A8DC-01	TCGA-X7-A8DC-01	0.004	0	
TCGA-AB-2882-03	TCGA-AB-2882-03	0.003	0	5.608
TCGA-EE-A2ML-06	TCGA-EE-A2ML-06	0.003	0	5.384
TCGA-AB-2885-03	TCGA-AB-2885-03	0.003	0	5.31
TCGA-EE-A20F-06	TCGA-EE-A20F-06	0.003	0	4.575
TCGA-VD-AA8P-01	TCGA-VD-AA8P-01	0.003	0	4.523
TCGA-AB-2993-03	TCGA-AB-2993-03	0.003	0	4.521
TCGA-AB-2939-03	TCGA-AB-2939-03	0.003	0	4.483
TCGA-B8-4146-01	TCGA-B8-4146-01	0.003	0	4.353
TCGA-BJ-A0ZH-01	TCGA-BJ-A0ZH-01	0.003	0	4.202
TCGA-AR-A0TZ-01	TCGA-AR-A0TZ-01	0.003	0	4.09
TCGA-AB-2928-03	TCGA-AB-2928-03	0.003	0	4.084
TCGA-J8-A3YF-01	TCGA-J8-A3YF-01	0.003	0	4.072
TCGA-KS-A4IB-01	TCGA-KS-A4IB-01	0.003	0	4.064
TCGA-WB-A81F-01	TCGA-WB-A81F-01	0.003	0	4.018
TCGA-E1-A7YE-01	TCGA-E1-A7YE-01	0.003	0	4.015
TCGA-96-7544-01	TCGA-96-7544-01	0.003	0	4.003
TCGA-EL-A3MX-01	TCGA-EL-A3MX-01	0.003	0	3.987
TCGA-DJ-A3V8-01	TCGA-DJ-A3V8-01	0.003	0	3.968
TCGA-AB-2971-03	TCGA-AB-2971-03	0.003	0	3.949
TCGA-FG-8189-01	TCGA-FG-8189-01	0.003	0	3.948
TCGA-BJ-A45I-01	TCGA-BJ-A45I-01	0.003	0	3.823
TCGA-E2-A155-01	TCGA-E2-A155-01	0.003	0	3.809
TCGA-63-A5MR-01	TCGA-63-A5MR-01	0.003	0	3.805
TCGA-HT-7606-01	TCGA-HT-7606-01	0.003	0	3.792
TCGA-S9-A7IQ-01	TCGA-S9-A7IQ-01	0.003	0	3.74
TCGA-EE-A3JD-06	TCGA-EE-A3JD-06	0.003	0	3.711
TCGA-A8-A09W-01	TCGA-A8-A09W-01	0.003	0	3.596
TCGA-BH-A0C3-01	TCGA-BH-A0C3-01	0.003	0	3.584
TCGA-TQ-A7RU-01	TCGA-TQ-A7RU-01	0.003	0	3.58
TCGA-DU-A6S8-01	TCGA-DU-A6S8-01	0.003	0	3.568
TCGA-QT-A7U0-01	TCGA-QT-A7U0-01	0.003	0	3.557
TCGA-ET-A40T-01	TCGA-ET-A40T-01	0.003	0	3.556
TCGA-33-4587-01	TCGA-33-4587-01	0.003	0	3.549
TCGA-B6-A0WS-01	TCGA-B6-A0WS-01	0.003	0	3.536
TCGA-CH-5762-01	TCGA-CH-5762-01	0.003	0	3.534
TCGA-AB-2826-03	TCGA-AB-2826-03	0.003	0	3.53
TCGA-CH-5748-01	TCGA-CH-5748-01	0.003	0	3.52
TCGA-IN-AB1X-01	TCGA-IN-AB1X-01	0.003	0	3.509
TCGA-EL-A4K9-01	TCGA-EL-A4K9-01	0.003	0	3.502
TCGA-3U-A98J-01	TCGA-3U-A98J-01	0.003	0	3.501
TCGA-EL-A3MZ-01	TCGA-EL-A3MZ-01	0.003	0	3.498
TCGA-QH-A65Z-01	TCGA-QH-A65Z-01	0.003	0	3.496
TCGA-D8-A27G-01	TCGA-D8-A27G-01	0.003	0	3.484
TCGA-E8-A437-01	TCGA-E8-A437-01	0.003	0	3.454
TCGA-AN-A0FS-01	TCGA-AN-A0FS-01	0.003	0	3.45
TCGA-MU-A8JM-01	TCGA-MU-A8JM-01	0.003	0	3.446
TCGA-XK-AAIR-01	TCGA-XK-AAIR-01	0.003	0	3.436
TCGA-TT-A6YP-01	TCGA-TT-A6YP-01	0.003	0	3.425
TCGA-A7-A0CH-01	TCGA-A7-A0CH-01	0.003	0	3.424
TCGA-EJ-7125-01	TCGA-EJ-7125-01	0.003	0	3.41
TCGA-G9-6384-01	TCGA-G9-6384-01	0.003	0	3.403
TCGA-CH-5753-01	TCGA-CH-5753-01	0.003	0	3.401
TCGA-2A-AAYU-01	TCGA-2A-AAYU-01	0.003	0	3.395
TCGA-WB-A80N-01	TCGA-WB-A80N-01	0.003	0	3.394
TCGA-BH-A0W4-01	TCGA-BH-A0W4-01	0.003	0	3.377
TCGA-4X-A9FC-01	TCGA-4X-A9FC-01	0.003	0	3.366
TCGA-AH-6643-01	TCGA-AH-6643-01	0.003	0	3.355
TCGA-QH-A65V-01	TCGA-QH-A65V-01	0.003	0	3.346
TCGA-6D-AA2E-01	TCGA-6D-AA2E-01	0.003	0	3.332
TCGA-E7-A677-01	TCGA-E7-A677-01	0.003	0	3.325
TCGA-WB-A81R-01	TCGA-WB-A81R-01	0.003	0	3.323
TCGA-06-0178-01	TCGA-06-0178-01	0.003	0	3.308
TCGA-RB-AA9M-01	TCGA-RB-AA9M-01	0.003	0	3.3
TCGA-DJ-A3UO-01	TCGA-DJ-A3UO-01	0.003	0	3.294
TCGA-05-4384-01	TCGA-05-4384-01	0.003	0	3.289
TCGA-DU-A7TI-01	TCGA-DU-A7TI-01	0.003	0	3.275
TCGA-EL-A3H5-01	TCGA-EL-A3H5-01	0.003	0	3.263
TCGA-WK-A8XQ-01	TCGA-WK-A8XQ-01	0.003	0	3.262
TCGA-EA-A3HS-01	TCGA-EA-A3HS-01	0.003	0	3.259
TCGA-LL-A442-01	TCGA-LL-A442-01	0.003	0	3.254
TCGA-78-7152-01	TCGA-78-7152-01	0.003	0	3.239
TCGA-FG-8186-01	TCGA-FG-8186-01	0.003	0	3.225
TCGA-W5-AA33-01	TCGA-W5-AA33-01	0.003	0	3.225
TCGA-A3-A8OX-01	TCGA-A3-A8OX-01	0.003	0	3.222
TCGA-IN-7806-01	TCGA-IN-7806-01	0.003	0	3.22
TCGA-C5-A7XC-01	TCGA-C5-A7XC-01	0.003	0	3.203
TCGA-BH-A0BS-01	TCGA-BH-A0BS-01	0.003	0	3.192
TCGA-B6-A0X7-01	TCGA-B6-A0X7-01	0.003	0	3.186
TCGA-FE-A3PD-01	TCGA-FE-A3PD-01	0.003	0	3.175
TCGA-A2-A0EO-01	TCGA-A2-A0EO-01	0.003	0	3.167
TCGA-ZB-A963-01	TCGA-ZB-A963-01	0.003	0	3.162
TCGA-ZJ-AAXJ-01	TCGA-ZJ-AAXJ-01	0.003	0	3.144
TCGA-2Z-A9JL-01	TCGA-2Z-A9JL-01	0.003	0	3.143
TCGA-HC-A632-01	TCGA-HC-A632-01	0.003	0	3.138
TCGA-EL-A4JZ-01	TCGA-EL-A4JZ-01	0.003	0	3.134
TCGA-A4-8312-01	TCGA-A4-8312-01	0.003	0	3.125
TCGA-3T-AA9L-01	TCGA-3T-AA9L-01	0.003	0	3.123
TCGA-CM-4751-01	TCGA-CM-4751-01	0.003	0	3.116
TCGA-CR-6470-01	TCGA-CR-6470-01	0.003	0	3.109
TCGA-52-7812-01	TCGA-52-7812-01	0.003	0	3.108
TCGA-CV-A460-01	TCGA-CV-A460-01	0.003	0	3.108
TCGA-EJ-7792-01	TCGA-EJ-7792-01	0.003	0	3.103
TCGA-C8-A1HL-01	TCGA-C8-A1HL-01	0.003	0	3.099
TCGA-EM-A3SX-01	TCGA-EM-A3SX-01	0.003	0	3.088
TCGA-TS-A7OY-01	TCGA-TS-A7OY-01	0.003	0	3.067
TCGA-BQ-7044-01	TCGA-BQ-7044-01	0.003	0	3.057
TCGA-F4-6806-01	TCGA-F4-6806-01	0.003	0	3.038
TCGA-EW-A1IZ-01	TCGA-EW-A1IZ-01	0.003	0	3.023
TCGA-DJ-A4V0-01	TCGA-DJ-A4V0-01	0.003	0	3.018
TCGA-D8-A73X-01	TCGA-D8-A73X-01	0.003	0	3.011
TCGA-BH-A0BM-01	TCGA-BH-A0BM-01	0.003	0	2.993
TCGA-ET-A39L-01	TCGA-ET-A39L-01	0.003	0	2.993
TCGA-BJ-A0ZA-01	TCGA-BJ-A0ZA-01	0.003	0	2.989
TCGA-DK-A6B5-01	TCGA-DK-A6B5-01	0.003	0	2.989
TCGA-VS-A952-01	TCGA-VS-A952-01	0.003	0	2.987
TCGA-XU-A92V-01	TCGA-XU-A92V-01	0.003	0	2.987
TCGA-31-1951-01	TCGA-31-1951-01	0.003	0	2.984
TCGA-97-A4M3-01	TCGA-97-A4M3-01	0.003	0	2.984
TCGA-B0-4718-01	TCGA-B0-4718-01	0.003	0	2.977
TCGA-C5-A2M1-01	TCGA-C5-A2M1-01	0.003	0	2.977
TCGA-5L-AAT1-01	TCGA-5L-AAT1-01	0.003	0	2.971
TCGA-DJ-A3UK-01	TCGA-DJ-A3UK-01	0.003	0	2.967
TCGA-BH-A8G0-01	TCGA-BH-A8G0-01	0.003	0	2.956
TCGA-J4-A6G3-01	TCGA-J4-A6G3-01	0.003	0	2.954
TCGA-55-6543-01	TCGA-55-6543-01	0.003	0	2.939
TCGA-2A-A8VV-01	TCGA-2A-A8VV-01	0.003	0	2.934
TCGA-A2-A25D-01	TCGA-A2-A25D-01	0.003	0	2.928
TCGA-CH-5741-01	TCGA-CH-5741-01	0.003	0	2.926
TCGA-MQ-A6BL-01	TCGA-MQ-A6BL-01	0.003	0	2.911
TCGA-AC-A3BB-01	TCGA-AC-A3BB-01	0.003	0	2.892
TCGA-E3-A3E2-01	TCGA-E3-A3E2-01	0.003	0	2.892
TCGA-G9-7525-01	TCGA-G9-7525-01	0.003	0	2.884
TCGA-IB-AAUR-01	TCGA-IB-AAUR-01	0.003	0	2.884
TCGA-HC-7750-01	TCGA-HC-7750-01	0.003	0	2.882
TCGA-4A-A93Y-01	TCGA-4A-A93Y-01	0.003	0	2.88
TCGA-4Z-AA7S-01	TCGA-4Z-AA7S-01	0.003	0	2.862
TCGA-VN-A88O-01	TCGA-VN-A88O-01	0.003	0	2.862
TCGA-HT-A5R5-01	TCGA-HT-A5R5-01	0.003	0	2.85
TCGA-DX-AB2G-01	TCGA-DX-AB2G-01	0.003	0	2.846
TCGA-VN-A88N-01	TCGA-VN-A88N-01	0.003	0	2.814
TCGA-CJ-4872-01	TCGA-CJ-4872-01	0.003	0	2.747
TCGA-F2-A44H-01	TCGA-F2-A44H-01	0.003	0	2.692
TCGA-SC-A6LN-01	TCGA-SC-A6LN-01	0.003	0	2.687
TCGA-DV-5576-01	TCGA-DV-5576-01	0.003	0	2.66
TCGA-DD-AADC-01	TCGA-DD-AADC-01	0.003	0	2.637
TCGA-A2-A04W-01	TCGA-A2-A04W-01	0.003	0	2.604
TCGA-B8-4620-01	TCGA-B8-4620-01	0.003	0	2.597
TCGA-GM-A2D9-01	TCGA-GM-A2D9-01	0.003	0	2.595
TCGA-BR-6710-01	TCGA-BR-6710-01	0.003	0	2.588
TCGA-EM-A3O6-01	TCGA-EM-A3O6-01	0.003	0	2.578
TCGA-CJ-4876-01	TCGA-CJ-4876-01	0.003	0	2.563
TCGA-SH-A7BD-01	TCGA-SH-A7BD-01	0.003	0	2.561
TCGA-B8-A54J-01	TCGA-B8-A54J-01	0.003	0	2.534
TCGA-EA-A6QX-01	TCGA-EA-A6QX-01	0.003	0	2.506
TCGA-JW-A69B-01	TCGA-JW-A69B-01	0.003	0	2.504
TCGA-5N-A9KM-01	TCGA-5N-A9KM-01	0.003	0	2.493
TCGA-D8-A3Z5-01	TCGA-D8-A3Z5-01	0.003	0	2.493
TCGA-XU-A936-01	TCGA-XU-A936-01	0.003	0	2.48
TCGA-PG-A916-01	TCGA-PG-A916-01	0.003	0	2.46
TCGA-5R-AA1C-01	TCGA-5R-AA1C-01	0.003	0	2.368
TCGA-DD-AAW0-01	TCGA-DD-AAW0-01	0.003	0	2.161
TCGA-DD-A73E-01	TCGA-DD-A73E-01	0.003	0	2.157
TCGA-G6-A5PC-01	TCGA-G6-A5PC-01	0.003	0	2.064
TCGA-BH-A42U-01	TCGA-BH-A42U-01	0.003	0	1.99
TCGA-VM-A8CF-01	TCGA-VM-A8CF-01	0.003	0	1.832
TCGA-AC-A3TM-01	TCGA-AC-A3TM-01	0.003	0	1.783
TCGA-ZP-A9CV-01	TCGA-ZP-A9CV-01	0.003	0	1.714
TCGA-OL-A66L-01	TCGA-OL-A66L-01	0.003	0	1.688
TCGA-DD-A3A1-01	TCGA-DD-A3A1-01	0.003	0	1.281
TCGA-DD-AAC9-01	TCGA-DD-AAC9-01	0.003	0	0.5763
TCGA-02-0028-01	TCGA-02-0028-01	0.003	0	
TCGA-06-1805-01	TCGA-06-1805-01	0.003	0	
TCGA-AA-3521-01	TCGA-AA-3521-01	0.003	0	
TCGA-AA-A010-01	TCGA-AA-A010-01	0.003	0	
TCGA-AB-2922-03	TCGA-AB-2922-03	0.003	0	
TCGA-AX-A1CN-01	TCGA-AX-A1CN-01	0.003	0	
TCGA-FZ-5921-01	TCGA-FZ-5921-01	0.003	0	
TCGA-V4-A9EX-01	TCGA-V4-A9EX-01	0.002	0	5.657
TCGA-AB-2886-03	TCGA-AB-2886-03	0.002	0	5.234
TCGA-AB-2915-03	TCGA-AB-2915-03	0.002	0	5.134
TCGA-EL-A4JW-01	TCGA-EL-A4JW-01	0.002	0	5.115
TCGA-VD-A8KI-01	TCGA-VD-A8KI-01	0.002	0	4.952
TCGA-J8-A3O1-01	TCGA-J8-A3O1-01	0.002	0	4.699
TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01	0.002	0	4.601
TCGA-EE-A2GD-06	TCGA-EE-A2GD-06	0.002	0	4.505
TCGA-EL-A4K4-01	TCGA-EL-A4K4-01	0.002	0	4.446
TCGA-EL-A3N3-01	TCGA-EL-A3N3-01	0.002	0	4.432
TCGA-V4-A9ED-01	TCGA-V4-A9ED-01	0.002	0	4.334
TCGA-FK-A3SE-01	TCGA-FK-A3SE-01	0.002	0	4.313
TCGA-D8-A1JT-01	TCGA-D8-A1JT-01	0.002	0	4.045
TCGA-22-4607-01	TCGA-22-4607-01	0.002	0	4.008
TCGA-EL-A3CP-01	TCGA-EL-A3CP-01	0.002	0	3.983
TCGA-HW-7486-01	TCGA-HW-7486-01	0.002	0	3.975
TCGA-ET-A2MY-01	TCGA-ET-A2MY-01	0.002	0	3.942
TCGA-B8-A54E-01	TCGA-B8-A54E-01	0.002	0	3.923
TCGA-MQ-A4LJ-01	TCGA-MQ-A4LJ-01	0.002	0	3.882
TCGA-CH-5761-01	TCGA-CH-5761-01	0.002	0	3.881
TCGA-EZ-7264-01	TCGA-EZ-7264-01	0.002	0	3.87
TCGA-HD-7754-01	TCGA-HD-7754-01	0.002	0	3.868
TCGA-EL-A3CY-01	TCGA-EL-A3CY-01	0.002	0	3.854
TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01	0.002	0	3.851
TCGA-DJ-A3UQ-01	TCGA-DJ-A3UQ-01	0.002	0	3.841
TCGA-HT-7694-01	TCGA-HT-7694-01	0.002	0	3.809
TCGA-CR-6471-01	TCGA-CR-6471-01	0.002	0	3.746
TCGA-BJ-A4O9-01	TCGA-BJ-A4O9-01	0.002	0	3.734
TCGA-FC-A5OB-01	TCGA-FC-A5OB-01	0.002	0	3.72
TCGA-ET-A39T-01	TCGA-ET-A39T-01	0.002	0	3.66
TCGA-AB-2894-03	TCGA-AB-2894-03	0.002	0	3.655
TCGA-EE-A2MC-06	TCGA-EE-A2MC-06	0.002	0	3.655
TCGA-WB-A818-01	TCGA-WB-A818-01	0.002	0	3.653
TCGA-HT-A4DV-01	TCGA-HT-A4DV-01	0.002	0	3.643
TCGA-H7-8502-01	TCGA-H7-8502-01	0.002	0	3.635
TCGA-L6-A4EU-01	TCGA-L6-A4EU-01	0.002	0	3.628
TCGA-18-3415-01	TCGA-18-3415-01	0.002	0	3.627
TCGA-FY-A3BL-01	TCGA-FY-A3BL-01	0.002	0	3.603
TCGA-AB-2921-03	TCGA-AB-2921-03	0.002	0	3.601
TCGA-AK-3456-01	TCGA-AK-3456-01	0.002	0	3.596
TCGA-DU-A7TG-01	TCGA-DU-A7TG-01	0.002	0	3.578
TCGA-HW-A5KM-01	TCGA-HW-A5KM-01	0.002	0	3.55
TCGA-CW-5580-01	TCGA-CW-5580-01	0.002	0	3.541
TCGA-HT-7681-01	TCGA-HT-7681-01	0.002	0	3.539
TCGA-EM-A22P-01	TCGA-EM-A22P-01	0.002	0	3.532
TCGA-SR-A6MP-01	TCGA-SR-A6MP-01	0.002	0	3.525
TCGA-L5-A4OI-01	TCGA-L5-A4OI-01	0.002	0	3.514
TCGA-DH-5143-01	TCGA-DH-5143-01	0.002	0	3.511
TCGA-A2-A0YL-01	TCGA-A2-A0YL-01	0.002	0	3.494
TCGA-BH-A1FR-01	TCGA-BH-A1FR-01	0.002	0	3.493
TCGA-FY-A40M-01	TCGA-FY-A40M-01	0.002	0	3.484
TCGA-05-4434-01	TCGA-05-4434-01	0.002	0	3.469
TCGA-B6-A0IM-01	TCGA-B6-A0IM-01	0.002	0	3.465
TCGA-B9-A69E-01	TCGA-B9-A69E-01	0.002	0	3.465
TCGA-AR-A1AL-01	TCGA-AR-A1AL-01	0.002	0	3.452
TCGA-44-2655-01	TCGA-44-2655-01	0.002	0	3.444
TCGA-D7-6817-01	TCGA-D7-6817-01	0.002	0	3.43
TCGA-A6-4105-01	TCGA-A6-4105-01	0.002	0	3.41
TCGA-BR-7957-01	TCGA-BR-7957-01	0.002	0	3.41
TCGA-HZ-7920-01	TCGA-HZ-7920-01	0.002	0	3.408
TCGA-E2-A1L6-01	TCGA-E2-A1L6-01	0.002	0	3.399
TCGA-BP-4959-01	TCGA-BP-4959-01	0.002	0	3.379
TCGA-EM-A4FN-01	TCGA-EM-A4FN-01	0.002	0	3.379
TCGA-BH-A201-01	TCGA-BH-A201-01	0.002	0	3.373
TCGA-UF-A7JK-01	TCGA-UF-A7JK-01	0.002	0	3.369
TCGA-A8-A0A1-01	TCGA-A8-A0A1-01	0.002	0	3.363
TCGA-33-4547-01	TCGA-33-4547-01	0.002	0	3.361
TCGA-EM-A3AK-01	TCGA-EM-A3AK-01	0.002	0	3.341
TCGA-CV-7413-01	TCGA-CV-7413-01	0.002	0	3.329
TCGA-CD-8532-01	TCGA-CD-8532-01	0.002	0	3.326
TCGA-G9-6342-01	TCGA-G9-6342-01	0.002	0	3.31
TCGA-PK-A5H9-01	TCGA-PK-A5H9-01	0.002	0	3.308
TCGA-FP-7916-01	TCGA-FP-7916-01	0.002	0	3.305
TCGA-A8-A08H-01	TCGA-A8-A08H-01	0.002	0	3.303
TCGA-QR-A7IN-01	TCGA-QR-A7IN-01	0.002	0	3.278
TCGA-ET-A3DP-01	TCGA-ET-A3DP-01	0.002	0	3.259
TCGA-ZG-A9LY-01	TCGA-ZG-A9LY-01	0.002	0	3.257
TCGA-D8-A1JU-01	TCGA-D8-A1JU-01	0.002	0	3.253
TCGA-A2-A0D3-01	TCGA-A2-A0D3-01	0.002	0	3.251
TCGA-YL-A8SC-01	TCGA-YL-A8SC-01	0.002	0	3.251
TCGA-FX-A8OO-01	TCGA-FX-A8OO-01	0.002	0	3.25
